route_id,module,service_class,start_xyz_mm,end_xyz_mm,corridor_diameter_mm,minimum_dynamic_bend_radius_mm,separation_rule,connector_boundary,validation_state
HN01_TORSO_POWER_SPINE,HN01,ACTUATOR POWER,"(18.0,18.0,405.0)","(18.0,18.0,575.0)",14.0,70.0,opposite torso rail from data; crossing only at 90 degrees,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_TORSO_DATA_SPINE,HN01,DATA/LOW VOLTAGE,"(-18.0,-18.0,405.0)","(-18.0,-18.0,575.0)",10.0,50.0,opposite torso rail from actuator power,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_HEAD_BRANCH,HN01,DATA/LOW VOLTAGE,"(-18.0,-18.0,575.0)","(0.0,-12.0,700.0)",10.0,50.0,no shared conduit with actuator power,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_HEAD_POWER_BRANCH,HN01,ACTUATOR POWER,"(18.0,18.0,575.0)","(0.0,12.0,700.0)",8.0,40.0,opposite side of neck from head data branch; moving pan/tilt service loops required,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_L_LEG_POWER,L01,ACTUATOR POWER,"(74.5,15.0,410.0)","(74.5,15.0,35.0)",12.0,60.0,front/rear offset from data corridor; joint service loops required,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_L_LEG_DATA,L01,DATA/ENCODER,"(50.5,-15.0,410.0)","(50.5,-15.0,35.0)",9.0,45.0,front/rear offset from power corridor; shield/return topology open,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_L_ARM_POWER,A01,ACTUATOR POWER,"(77.0,15.0,575.0)","(133.0,15.0,300.0)",10.0,50.0,rearward offset from data; shoulder/elbow loops required,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_L_ARM_DATA,A01,DATA/ENCODER,"(85.0,-15.0,575.0)","(133.0,-15.0,300.0)",8.0,40.0,forward offset from power; shield/return topology open,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_R_LEG_POWER,L02,ACTUATOR POWER,"(-74.5,15.0,410.0)","(-74.5,15.0,35.0)",12.0,60.0,front/rear offset from data corridor; joint service loops required,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_R_LEG_DATA,L02,DATA/ENCODER,"(-50.5,-15.0,410.0)","(-50.5,-15.0,35.0)",9.0,45.0,front/rear offset from power corridor; shield/return topology open,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_R_ARM_POWER,A02,ACTUATOR POWER,"(-77.0,15.0,575.0)","(-133.0,15.0,300.0)",10.0,50.0,rearward offset from data; shoulder/elbow loops required,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
HN01_R_ARM_DATA,A02,DATA/ENCODER,"(-85.0,-15.0,575.0)","(-133.0,-15.0,300.0)",8.0,40.0,forward offset from power; shield/return topology open,SELECTION REQUIRED,ROUTE RESERVED - CABLE OD/FILL/FLEX/STRAIN-RELIEF/EMC/CURRENT/THERMAL TEST OPEN
