pose_id,stage,title,purpose,support_mode,primary_foot,step_file,glb_file,configuration_state,authority
P00_NEUTRAL_STAND,S2,Neutral double support,"Reference posture with both feet flat, every rotary axis at zero and both grippers at the 10 mm open reference.",DOUBLE,BOTH,HR-30_p00_neutral_stand_candidate.step,HR-30_p00_neutral_stand_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P01_CROUCHED_STAND,S2,Crouched double support,Symmetric 8/16/8 degree sagittal flexion for stand preparation and vertical compliance development.,DOUBLE,BOTH,HR-30_p01_crouched_stand_candidate.step,HR-30_p01_crouched_stand_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P02_LEFT_WEIGHT_TRANSFER,S3,Left weight transfer,Translate the pelvis toward the left foot while both soles remain nominally flat; no foot lift.,DOUBLE,L,HR-30_p02_left_weight_transfer_candidate.step,HR-30_p02_left_weight_transfer_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P03_RIGHT_FOOT_LIFT,S4,Right foot lift,"Transfer over the left foot, then command a nominal sub-10 mm right-foot lift without forward placement.",L SINGLE,L,HR-30_p03_right_foot_lift_candidate.step,HR-30_p03_right_foot_lift_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P04_RIGHT_CAPTURE_STEP,S5,Right capture-step candidate,A guarded first forward placement target constrained to the 50 mm development class.,L SINGLE,L,HR-30_p04_right_capture_step_candidate.step,HR-30_p04_right_capture_step_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P08_RIGHT_TOUCHDOWN,S5,Right 40 mm touchdown,A double-support landing configuration with both feet nominally flat and the right sole advanced 40 mm.,DOUBLE,BOTH,HR-30_p08_right_touchdown_candidate.step,HR-30_p08_right_touchdown_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P05_RIGHT_WEIGHT_TRANSFER,S3,Right weight transfer,Mirror the lateral whole-body transfer over the right foot while both soles remain nominally flat; no foot lift.,DOUBLE,R,HR-30_p05_right_weight_transfer_candidate.step,HR-30_p05_right_weight_transfer_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P06_LEFT_FOOT_LIFT,S4,Left foot lift,Mirror the restrained lift candidate over the right foot with a nominal sub-10 mm left-foot clearance and no forward placement.,R SINGLE,R,HR-30_p06_left_foot_lift_candidate.step,HR-30_p06_left_foot_lift_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P07_LEFT_CAPTURE_STEP,S5,Left capture-step candidate,Mirror the guarded forward placement target so both leg chains have complete lift and capture references.,R SINGLE,R,HR-30_p07_left_capture_step_candidate.step,HR-30_p07_left_capture_step_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
P09_LEFT_TOUCHDOWN,S5,Left 40 mm touchdown,The mirrored double-support landing configuration with both feet nominally flat and the left sole advanced 40 mm.,DOUBLE,BOTH,HR-30_p09_left_touchdown_candidate.step,HR-30_p09_left_touchdown_candidate.glb,KINEMATIC DEVELOPMENT CANDIDATE,"NO POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
