link,assembly_group,allocated_mass_kg,neutral_com_x_m,neutral_com_y_m,neutral_com_z_m,local_ixx_kg_m2,local_iyy_kg_m2,local_izz_kg_m2,status
base_link,pelvis/power,1.550063,-0.003051,0.007384,0.389738,0.002057063,0.003736298,0.004527477,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
torso,torso/compute/waist,1.034189,-0.000504,0.006838,0.519828,0.002854793,0.004923171,0.004153993,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
neck_pan_link,neck,0.121151,-0.001315,-0.000001,0.627257,0.000063402,0.000063402,0.000058879,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
head,head/display/sensing,0.418231,-0.001989,-0.012142,0.697920,0.000858907,0.001221374,0.001205900,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_shoulder_pitch_link,L arm,0.191441,0.090168,0.020509,0.585022,0.000136370,0.000079193,0.000108228,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_upper_arm,L arm,0.310504,0.101090,0.000103,0.530388,0.000652162,0.000652162,0.000139934,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_forearm,L arm,0.201786,0.109326,0.000000,0.413857,0.000395584,0.000395584,0.000084077,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_hand,L hand,0.172070,0.132470,-0.001402,0.277019,0.000084085,0.000071696,0.000084085,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_gripper,L hand,0.040804,0.137237,-0.004392,0.267821,0.000015030,0.000013778,0.000014417,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
L_hip_yaw_link,L leg,0.249282,0.052553,0.000000,0.371962,0.000135028,0.000108022,0.000176574,P0.1 RECONCILED PLANNING INERTIAL - BOX APPROXIMATION; PHYSICAL IDENTIFICATION OPEN
