source_id,manufacturer,document,revision_date,url,verified,warning
FH-P01,SABIC,LEXAN sheet portfolio brochure - Americas,live official PDF accessed 2026-08-18; publication revision not stated,https://www.sabic.com/en/Images/SABIC-LEXAN-Sheet-Portfolio-Brochure-English-Americas_tcm1010-5016.pdf,LEXAN 9030/9034 is general-purpose polycarbonate sheet; cited gauge range 0.76-12.70 mm,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P02,Wuerth Elektronik,970080155 datasheet,rev 001.003 dated 2023-09-28; accessed 2026-08-18,https://www.we-online.com/components/products/datasheet/970080155.pdf,WA-SPAII; 5 mm AF; 8.0 +/-0.1 mm; M2.5 internal/internal; black polyamide,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P03,Essentra,50M025045P006 live product page,accessed 2026-08-18; page revision not stated,https://www.essentracomponents.com/en-us/p/plastic-pan-head-screws/50m025045p006,M2.5 x 6 nylon crossed pan screw; dia5.0 x 1.6 head,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P04,Essentra,50M025045D012 live product page,accessed 2026-08-18; page revision not stated,https://www.essentracomponents.com/en-us/p/nylon-cheese-head-screws/50m025045d012,M2.5 x 12 nylon cheese-head screw; dia4.5 x 1.6 head,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P05,Essentra,50M030050P012 live product page,accessed 2026-08-18; page revision not stated,https://www.essentracomponents.com/en-gb/p/machine-screws-pan/50m030050p012,M3 x 12 nylon crossed pan screw; dia5.6 x 2.4 head,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P06,Essentra,496241 live product page,accessed 2026-08-18; page revision not stated,https://www.essentracomponents.com/en-gb/p/standard-hex-nuts-plastic/496241,M3 black nylon nut; 5.5 mm AF x 2.4 mm,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P07,Essentra,M5 round screw family live page,accessed 2026-08-18; page revision not stated,https://www.essentracomponents.com/en-gb/p/machine-screws-round,item 10374603 lists M5 x 16 nylon round screw; dia9.0 x 4.5 head,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P08,Essentra,0030030000VR live product page,accessed 2026-08-18; page revision not stated,https://www.essentracomponents.com/en-gb/p/standard-hex-nuts-plastic/0030030000vr,M5 natural nylon nut; 8.0 mm AF x 4.2 mm,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P09,3M,SJ5309 official product page,live page accessed 2026-08-18; revision not stated,https://www.3m.com/3M/en_US/p/d/b5005035188/,SJ5309 clear; 3M ID 7000029678; urethane; pressure-sensitive adhesive; high skid resistance,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-P10,3M,Bumpon protective bumpers brochure,2024 brochure; accessed 2026-08-18,https://multimedia.3m.com/mws/media/2530717O/3m-bumpon-protective-bumpers-brochure-2024.pdf,SJ5309 dia22.3 x 10.1 mm; transparent; acrylic A-20 adhesive,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
