map_id,harness_id,position,mcu_contact,carrier_contact,net,population,wire_candidate,wire_color,end_labels,cut_length_mm,continuity,short_to_adjacent,retention,authority,warning
E1-HA-A-01,E1-HA-A,1,JCA1.1,JCA1.1,CTRL_GND,POPULATED BOTH ENDS,Belden 1852 BK005,BLACK,E1-HA-A-P01 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-02,E1-HA-A,2,JCA1.2,JCA1.2,CTRL_5V,POPULATED BOTH ENDS,Belden 1852 RD005,RED,E1-HA-A-P02 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-03,E1-HA-A,3,JCA1.3,JCA1.3,CTRL_3V3,POPULATED BOTH ENDS,Belden 1852 YL005,YELLOW,E1-HA-A-P03 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-04,E1-HA-A,4,JCA1.4,JCA1.4,UART_RS-LLEG_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-A-P04 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-05,E1-HA-A,5,JCA1.5,JCA1.5,UART_RS-LLEG_RX,POPULATED BOTH ENDS,Belden 1852 WH005,WHITE,E1-HA-A-P05 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-06,E1-HA-A,6,JCA1.6,JCA1.6,UART_RS-LLEG_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-A-P06 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-07,E1-HA-A,7,JCA1.7,JCA1.7,UART_RS-RLEG_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-A-P07 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-08,E1-HA-A,8,JCA1.8,JCA1.8,UART_RS-RLEG_RX,POPULATED BOTH ENDS,Belden 1852 WH005,WHITE,E1-HA-A-P08 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-09,E1-HA-A,9,JCA1.9,JCA1.9,UART_RS-RLEG_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-A-P09 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-10,E1-HA-A,10,JCA1.10,JCA1.10,UART_RS-LARM_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-A-P10 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-11,E1-HA-A,11,JCA1.11,JCA1.11,UART_RS-LARM_RX,POPULATED BOTH ENDS,Belden 1852 WH005,WHITE,E1-HA-A-P11 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-12,E1-HA-A,12,JCA1.12,JCA1.12,UART_RS-LARM_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-A-P12 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-13,E1-HA-A,13,JCA1.13,JCA1.13,UART_RS-RARM_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-A-P13 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-14,E1-HA-A,14,JCA1.14,JCA1.14,UART_RS-RARM_RX,POPULATED BOTH ENDS,Belden 1852 WH005,WHITE,E1-HA-A-P14 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-A-15,E1-HA-A,15,JCA1.15,JCA1.15,UART_RS-RARM_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-A-P15 BOTH ENDS,320.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-01,E1-HA-B,1,JCB1.1,JCB1.1,CTRL_GND,POPULATED BOTH ENDS,Belden 1852 BK005,BLACK,E1-HA-B-P01 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-02,E1-HA-B,2,JCB1.2,JCB1.2,CTRL_5V,POPULATED BOTH ENDS,Belden 1852 RD005,RED,E1-HA-B-P02 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-03,E1-HA-B,3,JCB1.3,JCB1.3,CTRL_3V3,POPULATED BOTH ENDS,Belden 1852 YL005,YELLOW,E1-HA-B-P03 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
