role,path,sha256,state,warning
generator,tools/generate_hr30_e1_controls_fixture_p01.py,6f579155ec1f184a9526a1baae998de8da39ad1db5ef3d00a3c267e2e29ae1fe,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
native MCU PCB,hr30/whole-body-p0.1/electrical/motion-controller-p0.1/board/hr30-motion-controller-p0.1.kicad_pcb,f92d3a852924055bcc9d0e7a882065b7abc3ab404ce2de0ac4665835689c7677,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
native CARRIER_A PCB,hr30/whole-body-p0.1/electrical/carriers-p0.1/carrier-a/hr30-carrier-a-p0.1.kicad_pcb,897bfc15bfe32e67d30213a8e9da615828582149cd3a1df949abf577fefa43d9,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
native CARRIER_B PCB,hr30/whole-body-p0.1/electrical/carriers-p0.1/carrier-b/hr30-carrier-b-p0.1.kicad_pcb,19692feaaecf4cb670f131ed67c9650a48ea163c64af97cbceaf89581e7afac4,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
native SWD PCB,hr30/whole-body-p0.1/electrical/swd-adapter-p0.1/board/hr30-swd-adapter-p0.1.kicad_pcb,b1306b4adee86d2895e66fd864f6cd2c5a3d7cbb005441231c0a2860e7a69a85,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
native WATCHDOG PCB,hr30/whole-body-p0.1/electrical/e1-diagnostic-watchdog-p0.1/board/hr30-e1-diagnostic-watchdog-p0.1.kicad_pcb,27a8eccb5ae8832a31ba6ed67b96bc50b6ff6260034e9befeee0260b913d012d,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
logic-power kit status,hr30/whole-body-p0.1/electrical/logic-power-kit-p0.1/logic-power-status.json,de53642d214f72f2541c5465532901e85c259638b7a9c514950ea0162fbae979,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
no-motion firmware status,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/firmware-status.json,850746e236dd1c953508b2167454669f9c1da3e7195c6e464b34334b52af9945,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
no-motion target binary,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/output/stm32h743-p0.1/hr30-motion-controller-stm32h743.bin,69e51e53b7f935a75e5c41b1f9c194982ea9f7295dc237247e6df4009b170365,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
SWD bring-up status,hr30/whole-body-p0.1/firmware/stm32-target-bringup-p0.1/bringup-status.json,4046eaa0fa0510d0432190719e9bd38cc4083cba8a91ae28f6e301ccf10bbeda,BOUND,"PRELIMINARY - UNBUILT CONTROLS-ONLY FIXTURE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
