selection_id,assembly,quantity,candidate,order_code,defined_geometry,disposition,built,warning
FH-S01,base panel,1,SABIC LEXAN 9034 clear polycarbonate sheet,LEXAN 9034 / RECEIVED STOCK TRACE REQUIRED,360 x 240 x 6.0 mm; R8 corners; 4 x dia5.5 foot; 14 x dia3.0 PCB; 8 x dia3.4 cover holes; four logic slots,CANDIDATE FROZEN; SUPPLIER CUT SIZE AND COC REQUIRED,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S02,carrier covers,2,SABIC LEXAN 9034 clear polycarbonate sheet,LEXAN 9034 / RECEIVED STOCK TRACE REQUIRED,98 x 58 x 28 shell; 3.0 mm wall/top; 110 x 70 x 3 flange; four dia3.4 holes each,CNC-MACHINED CANDIDATE; THERMOFORMING NOT RELEASED,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S03,under-panel raceway,1,SABIC LEXAN 9034 polycarbonate sheet,LEXAN 9034 / RECEIVED STOCK TRACE REQUIRED,245 x 150 x 16 mm outside envelope; 2.0 mm base/walls; open top,CNC-CUT / MECHANICALLY FASTENED OR QUALIFIED-BOND PROCESS REQUIRED,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S04,PCB pedestal,14,SABIC LEXAN 9034 clear polycarbonate,PROJECT PART E1-PED-6X3,dia6.0 x 3.0 mm ring; dia2.8 clearance,CNC/WATERJET FROM 3.0 MM SHEET; RECEIVED FIT REQUIRED,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S05,PCB standoff,14,Wuerth Elektronik WA-SPAII plastic internal/internal spacer,970080155,5 mm AF; 8.0 +/-0.1 mm; M2.5 both ends; black PA,EXACT CANDIDATE; AVAILABILITY AND RECEIVED THREAD FIT REQUIRED,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S06,PCB top screw,14,Essentra nylon crossed pan screw,50M025045P006 / ITEM 10295533,M2.5 x 0.45; 6.0 mm; head dia5.0 x 1.6 mm,EXACT CANDIDATE; TORQUE/ENGAGEMENT PROCESS OPEN,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S07,PCB bottom screw,14,Essentra nylon slotted cheese screw,50M025045D012 / ITEM 10325643,M2.5 x 0.45; 12.0 mm; project envelope head dia4.5 x 1.6 mm,EXACT CANDIDATE; 3.0 MM MINIMUM NOMINAL ENGAGEMENT; TORQUE OPEN,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S08,cover screw,8,Essentra nylon crossed pan screw,50M030050P012 / ITEM 10397367,M3 x 0.5; 12.0 mm; head dia5.6 x 2.4 mm,EXACT CANDIDATE; TORQUE PROCESS OPEN,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S09,cover nut,8,Essentra black nylon hex nut,496241 / ITEM 10279151,M3; 5.5 mm AF; 2.4 mm high,EXACT CANDIDATE; WITNESS/RETENTION PROCESS OPEN,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
FH-S10,bench-foot riser,4,SABIC LEXAN 9034 clear polycarbonate,PROJECT PART E1-FOOT-223X79,dia22.3 x 7.9 mm; dia5.5 through; dia9.5 x 4.8 bottom counterbore,CNC FROM 8 MM STOCK TO 7.9 MM FINISH; INSPECT BEFORE BUMPER BOND,NO,"PRELIMINARY - UNBUILT E1 FIXTURE HARDWARE CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
