function_id,interface_role,reference,terminal_or_pin,net_path,implementation_note,physical_validation,authority,warning
SFR-01,input channel 1,S0,NC1-A/NC1-B,SAFE_24V / S12_CH1,SR1 S11/S12,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-01,input channel 2,S0,NC2-A/NC2-B,S21_TEST / S22_CH2,SR1 S21/S22,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-01,output channel 1,SR1/K1,13-14 / A1-A2,K1_COIL_POS / SAFE_0V,K1 independent coil,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-01,output channel 2,SR1/K2,23-24 / A1-A2,K2_COIL_POS / SAFE_0V,K2 independent coil,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-01,power interruption K1,K1,1/L1-2/T1-3/L2-4/T2-5/L3-6/T3,RAW_12V_POS to K1_OUT,three main poles in series,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-01,power interruption K2,K2,1/L1-2/T1-3/L2-4/T2-5/L3-6/T3,K1_OUT to TETHER_POS_SWITCHED,three main poles in series,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-02,monitored reset,S1/SR1,NO-A/NO-B to S34,S12_CH1 / RESET_EDM,eligibility only,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-02,fresh motion boundary,MCU1,PERMIT/CMD/ENABLE,MOTION_PERMIT_INPUT / FRESH_MOTION_REQUEST / PDU_ENABLE_BOUNDARY,permit and fresh request are distinct,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-03,K1 mirror feedback,K1,21-22,RESET_EDM to EDM_K1_OUT,IEC mirror contact candidate,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-03,K2 mirror feedback,K2,21-22,EDM_K1_OUT to RESET_EDM,IEC mirror contact candidate,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-03,feedback logic,SR1,S34,RESET_EDM,monitored start/feedback input,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-01,status only,SR1,33-34 / 41-42 / Y32,HARDWIRED_PERMIT / PNOZ_AUX_STATUS / PNOZ_Y32_STATUS,41-42 and Y32 receive no safety credit,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
