function_id,safety_function,physical_input,logic_or_measure,physical_output,independence_or_safe_state,diagnostic_or_validation_interface,implementation_state,remaining_closure,achieved_pl_claimed,validation_state,authority,warning
SFR-01,Emergency-stop demand removes actuator energy,S0 NC1-A/NC1-B and NC2-A/NC2-B,SR1 S11/S12 and S21/S22,SR1 13-14 to K1 A1; SR1 23-24 to K2 A1; K1/K2 A2 to SAFE_0V,K1 and K2 each use 1/L1-2/T1-3/L2-4/T2-5/L3-6/T3 in series,K1/K2 21-22 mirror NC chain to S34,ECAD CONNECTED - UNVALIDATED,"DC application, timing, diagnostic coverage, fault exclusions, CCF and physical tests",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-02,Prevention of unexpected restart,S1 NO-A/NO-B plus healthy E-stop and EDM state,SR1 S34 monitored start plus MCU1 deterministic state,K1/K2 coils and MOTION_PERMIT_INPUT,permit restoration does not create FRESH_MOTION_REQUEST,PNOZ status is diagnostic only; fresh command is separate,ECAD CONNECTED / FIRMWARE BOUNDARY DEFINED - UNVALIDATED,"falling-edge behavior, power-cycle/brownout/HIL and physical zero-motion proof",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-03,External-device monitoring,K1 21-22 and K2 21-22 built-in mirror NC contacts,series RESET_EDM feedback to SR1 S34,safety-output eligibility blocked after failed opening,no motion command path,received-device identity and each independent welded/stuck fault,ECAD CONNECTED - UNVALIDATED,"diagnostic coverage, timing, fault injection, CCF and qualified validation",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-04,Control-power loss enters safe state,PS2 SAFE_24V loss; MCU reset/brownout,PNOZ de-energization plus fail-low controller initialization,K1/K2 coils de-energized; torque/TX/action-ready inactive,physical actuator decay and gravity response unresolved,power-cycle and brownout traces required,PARTIAL ARCHITECTURE,"as-built supply decay, firmware/HIL, contactor opening, actuator torque decay and collapse containment",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-05,Actuator VDD backfeed prevention,split-harness physical cavities,physical segregation only,25 individual protected power pairs,standard ROBOTIS daisy cables carry VDD and are not acceptable as-is,continuity/backfeed fault injection,NOT IMPLEMENTED - HARNESS BLOCKER,"custom/de-pinned data-only links, 283-terminal physical bindings, 25 branch feeds and as-built tests",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-06,Branch overcurrent interruption,branch current/fault,protection device selection required,one main plus five PDU holders now; 25 actuator branch protections unresolved,no fuse value or conductor released,coordination and thermal test,NOT IMPLEMENTED,"fault current, wire length, ambient, bundling, inrush, duty, connector limits, regeneration and jurisdiction",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-07,Watchdog loss requests safe stop,heartbeat,watchdog/MCU diagnostic path,permit request only,cannot bypass E-stop or directly energize K1/K2,fault log only,DEFINED - NO SAFETY CREDIT,"hardware implementation, fault response and any future safety allocation",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-08,Torque-disable command,deterministic controller state,compiled local firmware,serial torque-disable commands,not an independent energy-isolation function,readback and physical torque test,COMPILED - UNFLASHED - STANDARD CONTROL,"flash, bench test, all 25 axes, bus loss, timeout and torque-decay evidence",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-09,Charger interlock,charger-present contact,future hardwired interlock,safety eligibility,not present in tether-first configuration,unplug/reset sequence,FUTURE - NOT IMPLEMENTED,onboard source/charger architecture and fault-tested hardwired interlock,NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
SFR-10,Fall restraint prevents head/floor contact,mechanical fall,rated restraint system,gantry/harness/robot attachment,no current rated design,dynamic arrest proof,NOT SELECTED OR PROVED,"WLL, arrest energy, travel, attachment loads, inspection and qualified mechanical acceptance",NO,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - IMPLEMENTATION MAP ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
