path,bytes,sha256,execution_state,authority,warning
bond-hardware-register.csv,4310,f30411b464626f2971ad51847c8e12976b31670ed3f7c4b346fd190e3b81e5ee,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
conductor-sizing-basis.csv,3232,7ae8f541a52144324d7a559ee8df9bddb2f1255935aa9a711daf46e3844d0979,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
index.html,5394,bcc0f6ee8caa605bf7789429eab12b8903a5209d9365412687370e92e8ed87b1,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
inspection-measurement-plan.csv,4250,4062ab654441ec03257df475be30d584d362e9acfd02432e49d3d32a2f3e31cf,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
installation-traveler.csv,5863,1abc05a658399a1c9d2f4dfa81825eb9dfee685770bae9662973be5e5b2e6f1f,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
joint-bypass-obligation.csv,5328,9c24b64be1256c4faca837bac6eb7fd6a98f9c32ecc8a5d0b45aeb69cea554eb,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
open-holds.csv,3905,790ec2f5896c389525b264e761b7bf3f407faaa592a4043ff16ce85c7495369d,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
physical-bond-status.json,1084,cd87365008e5a5c2fd346400d8194ead73143e56d6ed06763784d29bd05c7c03,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
primary-source-register.csv,4338,2870b1f3c2248b6999b24de2607df6c4578f2c0c7e69d367390d4f117b87055e,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
protective-bonding-layout.svg,3051,0d24b09789e3b2e6b175e1601f61a851e0f031187e6e18ad2e68873f1fa7797e,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
protective-bonding-source.py,32332,2fdac725919986e5f5414fcfd21c31b12420f14e0c4d23740666f692d19e0712,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
README.md,443,b3ab38bf19400ee769b8f9424550fae0deab9f55be6566caeb0afff3f76691eb,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
robot-bond-zone-register.csv,4544,afde6ed351abc6eb5379d97857c6dc879052ba1896dbc40b64ef93e39049d7d7,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
site-jurisdiction-basis.csv,2071,14c85aafe650dceedabe679a6f6f191d38a9457bd6c3e509f895389e9a62b54d,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
source-binding.csv,2201,8be7a1abc714bb7f2d64caede8f58741c0d25217c7c679dcc3d9ff07eff1396c,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
