zone_id,module_or_zone,candidate_landing,bonded_to,path_type,hardware_binding,installed,measured,execution_state,authority,warning
PB-Z01,external panel body,factory enclosure grounding stud,UT 10-PE panel hub,fixed jumper,PB-HW04/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z02,external panel door,factory door bonding stud,panel body/PE hub,door flex jumper,SELECTION REQUIRED,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z03,RSP-500-12 frame/FG,manufacturer FG terminal,UT 10-PE panel hub,fixed jumper,SELECTION REQUIRED,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z04,SD-15A-24 frame/FG,manufacturer FG terminal,UT 10-PE panel hub,fixed jumper,SELECTION REQUIRED,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z05,tether PE,XT1A/XT1B center G cavity,panel hub to pelvis hub,SBS75G + tether conductor,PB-HW04/PB-HW05,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z06,pelvis,single accessible frame-bond hub,XT1B G and all robot jumpers,hub,PB-HW06,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z07,torso,upper-pelvis/torso conductive tray,pelvis hub,fixed or flex jumper,PB-HW07/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z08,head and neck,head carrier conductive zone,torso,neck bypass jumper,PB-HW07/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z09,left arm and hand,proximal/distal conductive zones,torso,shoulder/elbow/wrist bypasses,PB-HW07/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z10,right arm and hand,proximal/distal conductive zones,torso,shoulder/elbow/wrist bypasses,PB-HW07/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z11,left leg and foot,thigh/shank/foot conductive zones,pelvis,hip/knee/ankle bypasses,PB-HW07/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z12,right leg and foot,thigh/shank/foot conductive zones,pelvis,hip/knee/ankle bypasses,PB-HW07/PB-HW09,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-Z13,DC return bus RB0,covered service point,pelvis bond hub,one removable BR1 only,PB-HW08,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
