bypass_id,moving_interface,bearing_or_joint_conductivity_credited,candidate_route,jumper_product,bend_radius_and_slack,retention,worst_pose_tested,execution_state,authority,warning
PB-JB01,neck,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB02,waist,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB03,left shoulder,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB04,right shoulder,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB05,left elbow,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB06,right elbow,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB07,left wrist,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB08,right wrist,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB09,left hip,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB10,right hip,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB11,left knee,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB12,right knee,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB13,left ankle,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PB-JB14,right ankle,NO,external serviceable slack loop outside pinch envelope,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT BONDING IMPLEMENTATION CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
