bond_id,from_node,to_node,bond_function,candidate_location,conductor_or_hardware,disposition,installed,measured,execution_state,authority,warning
GR-PB01,facility PE,external panel PE bar,permanent protective bond,external panel,SELECTION REQUIRED,required candidate path; facility/enclosure assumptions open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB02,external panel PE bar,Hammond enclosure bonding stud,permanent protective bond,external panel,SELECTION REQUIRED,"paint removal, stud, washers and enclosure instructions open",NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB03,external panel PE bar,RSP-500-12 FG,permanent protective bond,external panel,SELECTION REQUIRED,terminal and conductor release open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB04,external panel PE bar,SD-15A-24 FG,permanent protective bond,external panel,SELECTION REQUIRED,terminal and conductor release open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB05,external panel PE bar,XT1A SBS75G G,permanent protective bond,external panel/tether,SELECTION REQUIRED,ground contact first-mate feature candidate; contact/wire sizing open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB06,XT1B SBS75G G,pelvis frame-bond hub,permanent protective bond,robot pelvis,SELECTION REQUIRED,one controlled landing point; exact stud/terminal open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB07,pelvis frame-bond hub,"torso, pelvis, both legs, both arms, head conductive frame zones",segmented protective bonds,whole robot,SELECTION REQUIRED,joint/bearing interfaces are not credited as bonds; flexible jumpers or qualified conductive interfaces required,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB08,ACTUATOR_DC_RETURN bus RB0,pelvis frame-bond hub,single proposed removable DC0V/PE bond BR1,robot pelvis distributor,SELECTION REQUIRED,SOLE INTENTIONAL DC RETURN/PE BOND CANDIDATE; qualified disposition and physical proof open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB09,CTRL_GND,ACTUATOR_DC_RETURN bus RB0,single logic-reference connection,robot pelvis distributor,SELECTION REQUIRED,topology/impedance/EMC and fault-current behavior open,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-PB10,cable shields/drains,approved shield-bond hardware,EMC bond,connector boundaries,SELECTION REQUIRED,not a substitute for PE; termination scheme requires EMC testing,NO,NO,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
