measurement_id,measurement,unit,acceptance_limit,instrument_id,measured_value,result,evidence_path,execution_state,authority,warning
GR-M01,facility PE to panel PE bar,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M02,panel PE bar to enclosure/source FG/tether G,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M03,tether G end-to-end under flex,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M04,pelvis hub to every exposed conductive module at worst joint poses,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M05,BR1 DC return-to-frame bond resistance and physical location,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M06,number of intentional DC return-to-frame bonds,count,EXACTLY ONE IF CANDIDATE ARCHITECTURE IS APPROVED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M07,power conductors to frame insulation with BR1 removed,Mohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M08,each external instrument reference to PE/CTRL_GND before connection,ohm,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M09,frame current during approved current-limited injection,mA,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
GR-M10,bond thermal rise during approved fault-current test,degC,SELECTION REQUIRED,UNASSIGNED,NONE,NOT EXECUTED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT GROUNDING CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
