axis_id,distribution_node,incoming_trunk,breakout_interface,candidate_terminal_female,candidate_terminal_male,local_pair,actuator_pigtail,polarity,serviceability,state,authority,warning
WAIST_YAW,DP-WAIST,861802,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 1 BLACK=RETURN; cavity 2 RED=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_PAN,DP-HEAD,861804,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 1 BLACK=RETURN; cavity 2 RED=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_TILT,DP-HEAD,861804,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 3 WHITE=RETURN; cavity 4 GREEN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_PITCH,DP-LARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 1 BLACK=RETURN; cavity 2 RED=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_ROLL,DP-LARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 3 WHITE=RETURN; cavity 4 GREEN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ELBOW_PITCH,DP-LARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 5 ORANGE=RETURN; cavity 6 BLUE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_WRIST_ROTATION,DP-LARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 7 BROWN=RETURN; cavity 8 YELLOW=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_GRIPPER,DP-LARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 9 VIOLET=RETURN; cavity 10 SLATE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_YAW,DP-LLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 1 BLACK=RETURN; cavity 2 RED=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_ROLL,DP-LLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 3 WHITE=RETURN; cavity 4 GREEN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
