hold_id,unresolved,evidence_required,state,authority,warning
DPH-H01,six distributed protection nodes lack selected eFuse/fuse components and PCB schematics,"select devices from measured fault, inrush, regeneration and clearing evidence; create connected ECAD",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H02,upstream feed conductors/connectors to each distributed node are not sized,"fault-current, simultaneous-duty, voltage-drop, connector and thermal tests",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H03,arm trunk 861812 has only 0.6528 mm diametral corridor clearance at maximum published OD,"tolerance stack, pull/assembly method, chafe liner, clamp and full-motion physical fit test",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H04,"all six route-guide radius screens pass, but guard, snag and full-pose collision clearance remain unexecuted",complete exact guarded-route CAD and neutral/crouch/weight-transfer/step/fall-restraint collision sweeps before any fabrication release,OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H05,local 861802 branch loops and joint crossings have no accepted 3D sweep or cut length,"joint-by-joint routed CAD, full-limit sweep, clamp locations and flex-cycle test",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H06,861812 12-core intermediate breakouts are not schematic- or PCB-defined,"keyed cavity map, breakout PCB, creepage/clearance, copper, protection boundary, mounting and service access",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H07,"published conductor DCR values are nominal, not maximum, and bundle temperature is unvalidated",received-lot four-wire resistance plus representative bundle temperature-rise test at measured duty and fault clearing,OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H08,Micro-Fit reference ratings do not release the HR-30 connector application,"production-tool crimp sections/pull tests, connector temperature rise, vibration, retention and mating-cycle plan",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H09,Alpha 3051-to-JST EH actuator pigtail remains the 22 AWG endpoint bottleneck,"exact pigtail length, crimp process, JST application derating and connector temperature-rise validation",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H10,"no exact supplier quotation, received lot, certificate, or availability has been accepted",written quotation and incoming inspection tied to exact order codes and source revisions,OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H11,"protective-earth, shield and reference bonding remain outside this power-cable package",qualified electrical integration disposition with the authoritative ECAD,OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
DPH-H12,no physical build or powered evidence exists,"staged unpowered fit, continuity/hipot as applicable, guarded low-energy commissioning, fault injection and qualified review",OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
