sheet,reference,terminal,pin_name,net,status,delta,warning
01_external_sources.kicad_sch,XD0,01,0 V LOAD 01,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,02,0 V LOAD 02,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,03,0 V LOAD 03,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,04,0 V LOAD 04,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,05,0 V LOAD 05,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,06,0 V LOAD 06,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,07,0 V LOAD 07,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD0,LINE,CONTROL 0 V FEED,SAFETY_0V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,01,24 V LOAD 01,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,02,24 V LOAD 02,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,03,24 V LOAD 03,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,04,24 V LOAD 04,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
