page,p115_sheet,p115_sha256,p118_sheet,p118_sha256,delta_class,canonical_identical_after_admin_normalization,added_references,project_owned_disposition,independent_review,qualified_acceptance,warning
1,electrical/kicad/project-button-v3-p1.15-carrier-candidate/01_external_sources.kicad_sch,A265061592F06E617D24D791E48B3CF4723A4B20220E1F1F5F39DF30307DB3E6,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/01_external_sources.kicad_sch,10A3C01F6146F42BE6E52FF34E9EBD340BB6EBBFA007BE8A944B141322CE31EA,EXPLICIT_TOPOLOGY_NODE_ADDITION,FALSE,XD24; XD0,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,electrical/kicad/project-button-v3-p1.15-carrier-candidate/02_estop_eligibility.kicad_sch,FF82CA0C628F11C6956C43486332C47AFF95B6199DBFFB83043261B6129DB659,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/02_estop_eligibility.kicad_sch,69695288BD82EED0F6FE692BA4516FFEC9F63DFE1FEC3DE24E8FF49D974AA106,EXPLICIT_TOPOLOGY_NODE_ADDITION,FALSE,XN1; XN3,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,electrical/kicad/project-button-v3-p1.15-carrier-candidate/03_arm_watchdog_eligibility.kicad_sch,1532573FC56210038EC72108DDF00B178D0E1721FC2929AC4C83250C18C0B254,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/03_arm_watchdog_eligibility.kicad_sch,B234983EAC0A4065AED63E43D15B11F2A53E798C2A1475E68805BDBD9A2A11CD,EXPLICIT_TOPOLOGY_NODE_ADDITION,FALSE,XN2,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,electrical/kicad/project-button-v3-p1.15-carrier-candidate/04_contactor_edm.kicad_sch,9F7E115E90D38E96EE55D141A351A43B4246C06170E1742547D79BAA883026FB,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/04_contactor_edm.kicad_sch,B1E61C95D6FEE40D9EF8CB9B07079B13CCA71503CFCFD1464B7AC16F25A1FF18,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,electrical/kicad/project-button-v3-p1.15-carrier-candidate/05_actuator_interruption.kicad_sch,4BB7239AA70C246CF1E295D0486B4AB5F3E150B93D14CCA4C463DD8893F1EE10,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/05_actuator_interruption.kicad_sch,78F573544E90F0645E7E263D9B1C19D6CAAAF1C86F79DCA5C1B77346420A8C8C,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,electrical/kicad/project-button-v3-p1.15-carrier-candidate/06_branches_and_limiters.kicad_sch,8D1A94D390F3066B5CD6B62F7120462A8D0B7EFE86DF4F814509FE13F7C7D261,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/06_branches_and_limiters.kicad_sch,27DDEFAAF423AF3D6750E067F0EE9C79378D9D631AC9A58AE8EFB7F8F3A8504B,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,electrical/kicad/project-button-v3-p1.15-carrier-candidate/07_watchdog_control.kicad_sch,FB6BE3D61B7C844E8E9DCF188A5EE35846AB891E6F3DD5B2ABF749CD502FAE04,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/07_watchdog_control.kicad_sch,F911456A842071B0076FB55192AD72ECD3EA7F4ECEA1024DA1A4F2D7914432E0,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,electrical/kicad/project-button-v3-p1.15-carrier-candidate/08_watchdog_feedback_interface.kicad_sch,720E3487F651EB88436BA2A45E3E47FD8659A0D44986AF6AEF6CFB77AB9BACEC,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/08_watchdog_feedback_interface.kicad_sch,CD79943E64D3E94F038308DF1AD88DF872554DCE0CC68EA955E82CACE2310F33,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,electrical/kicad/project-button-v3-p1.15-carrier-candidate/09_compute_and_control_terminals.kicad_sch,EE35E685932433C53FBA81B05F8E95E0875FFE06F0897AF9A4DCCCC24C1B5BD3,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/09_compute_and_control_terminals.kicad_sch,31D3D80869394B3F4B6674DFFB68A3E9EBBCD53E30C33147D8412D05C7A8E6B9,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,electrical/kicad/project-button-v3-p1.15-carrier-candidate/10_actuator_interfaces.kicad_sch,BBE653C67891FDC6C1AC29A5E9BFD294F25304DED560C69AA008D367C7C38D6E,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/10_actuator_interfaces.kicad_sch,051653B64A9C47BF44971939652EC076D71DF81B3A722D73D980A2F6DA63BB67,ADMINISTRATIVE_ONLY_CANONICAL_IDENTICAL,TRUE,NONE,NO UNCONTROLLED CONNECTIVITY DELTA FOUND,OPEN,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
