hold_id,scope,evidence_required,warning
OBS-HOLD-001,SR1 Y32/H1,"Measure exact received H1 current over accepted voltage/temperature, identify terminals/internal circuit, and prove useful indication with Y32 at the 17.8 V low screen","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-002,Y32 application,"Qualified review of aggregate current, short/open faults, leakage, startup and no interference with SR1/SRA1 diagnostics","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-003,K1/K2 wetting,"Received contact voltage/current, bounce, contamination, life and fault testing with the exact 2.70 kohm shunts","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-004,EMC/protection,"Accept the exact Type-3 network, 10 nF DC-bias, 500 V line-to-FGND catalog test level, cable environment and any additional protection","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-005,PCB/layout,"Native PCB, field/logic separation, 4 mm placement rule, floating SUB copper, creepage/clearance, thermal and DFM review","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-006,Grounding,"Accept FGND-to-SAFETY_0V and GND1-to-COMPUTE_0V boundaries without creating an unintended bond, loop or back-power path","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-007,Raspberry Pi,"Select four conflict-free GPIOs and exact physical pins from current official documentation; verify RP1 thresholds, pull state, cable, boot and power-loss behavior","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-008,Connectors/harness,"Accept the exact PCB terminal application, conductor range, ferrules, strip length, torque, wire, labels, shield/return routing, retention, separation and service access","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-009,Fault injection,"Execute open, short, cross-short, stuck-high, stuck-low, field-return loss, compute-return loss, logic brownout and source-loss cases","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS-HOLD-010,Safety boundary,"Qualified reviewer confirms every observation remains diagnostic-only and cannot command, restore or preserve motion","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
