reference,value,quantity,state,warning
JFIELD1,Phoenix MKDS field terminal candidates: 1751264 plus 1751248,1,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JLOGIC1,Phoenix MKDS compute terminal candidates: 1751264 plus 1751248,1,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOUNDARY1,GALVANIC DOMAIN BOUNDARY - ZERO SAFETY CREDIT,1,SYSTEM GROUNDING/INSULATION REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH1,1.00 kohm 1% 0.4 W MELF; Vishay MMA02040C1001FB300,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN1,562 ohm 1% 0.125 W 0805; Panasonic ERJ6ENF5620V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI1,10 nF 50 V X7R; TDK CGA3E2X7R1H103K080AA,1,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UOBS1,Texas Instruments ISO1212DBQ dual isolated digital-input receiver,1,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH2,1.00 kohm 1% 0.4 W MELF; Vishay MMA02040C1001FB300,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN2,562 ohm 1% 0.125 W 0805; Panasonic ERJ6ENF5620V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI2,10 nF 50 V X7R; TDK CGA3E2X7R1H103K080AA,1,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RW2,2.70 kohm 1% 0.5 W 1210; Vishay CRCW12102K70FKEA,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1EXT,Existing IDEC HW1P-1FQD-A-24V load outside this board,1,EXTERNAL LOAD - RECEIVED CURRENT/TERMINALS/BRIGHTNESS HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH3,1.00 kohm 1% 0.4 W MELF; Vishay MMA02040C1001FB300,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN3,562 ohm 1% 0.125 W 0805; Panasonic ERJ6ENF5620V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI3,10 nF 50 V X7R; TDK CGA3E2X7R1H103K080AA,1,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RW3,2.70 kohm 1% 0.5 W 1210; Vishay CRCW12102K70FKEA,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UOBS2,Texas Instruments ISO1212DBQ dual isolated digital-input receiver,1,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH4,1.00 kohm 1% 0.4 W MELF; Vishay MMA02040C1001FB300,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN4,562 ohm 1% 0.125 W 0805; Panasonic ERJ6ENF5620V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFI4,10 nF 50 V X7R; TDK CGA3E2X7R1H103K080AA,1,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RW4,2.70 kohm 1% 0.5 W 1210; Vishay CRCW12102K70FKEA,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
