sheet,reference,terminal,function,net,state,warning
01_boundaries.kicad_sch,JFIELD1,1,SR1 STATUS,SR1_STATUS,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,2,SRA1 STATUS,SRA1_STATUS,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,3,K1 STATUS,K1_STATUS,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,4,K2 STATUS,K2_STATUS,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,5,FIELD RETURN,SAFETY_0V,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JFIELD1,6,N/C,INTENTIONALLY_UNUSED_JFIELD1_6,EXACT PCB TERMINAL CANDIDATES - MATING/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,1,PI 3V3 CANDIDATE,PI_3V3_CANDIDATE,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,2,COMPUTE RETURN,COMPUTE_0V,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,3,OBS SR1,OBS_SR1_PI,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,4,OBS SRA1,OBS_SRA1_PI,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,5,OBS K1,OBS_K1_PI,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,JLOGIC1,6,OBS K2,OBS_K2_PI,EXACT PCB TERMINAL CANDIDATES - PI PINS/HARNESS/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,BOUNDARY1,FIELD,FIELD FGND,SAFETY_0V,SYSTEM GROUNDING/INSULATION REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_boundaries.kicad_sch,BOUNDARY1,LOGIC,LOGIC GND1,COMPUTE_0V,SYSTEM GROUNDING/INSULATION REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH1,1,TYPE-3 THRESHOLD/SURGE A,SR1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH1,2,TYPE-3 THRESHOLD/SURGE B,SR1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN1,1,CURRENT LIMIT A,SR1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN1,2,CURRENT LIMIT B,SR1_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI1,1,SENSE,SR1_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI1,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,1,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,2,VCC1,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,3,EN TIED HIGH,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,4,OUT1,OBS_SR1_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,5,OUT2,OBS_SRA1_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,6,NC,INTENTIONALLY_UNUSED_UOBS1_6,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,7,NC,INTENTIONALLY_UNUSED_UOBS1_7,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,8,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,9,SUB2 FLOAT,INTENTIONALLY_UNUSED_UOBS1_9,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,10,SENSE2,SRA1_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,11,IN2,SRA1_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,12,FGND2,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,13,SUB1 FLOAT,INTENTIONALLY_UNUSED_UOBS1_13,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,14,FGND1,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,15,IN1,SR1_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,16,SENSE1,SR1_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH2,1,TYPE-3 THRESHOLD/SURGE A,SRA1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH2,2,TYPE-3 THRESHOLD/SURGE B,SRA1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN2,1,CURRENT LIMIT A,SRA1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN2,2,CURRENT LIMIT B,SRA1_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI2,1,SENSE,SRA1_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI2,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RW2,1,WETTING/BLEED SHUNT A,SRA1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RW2,2,WETTING/BLEED SHUNT B,SAFETY_0V,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,H1EXT,TBD-HA,UNVERIFIED INPUT,SR1_STATUS,EXTERNAL LOAD - RECEIVED CURRENT/TERMINALS/BRIGHTNESS HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,H1EXT,TBD-HB,UNVERIFIED RETURN,SAFETY_0V,EXTERNAL LOAD - RECEIVED CURRENT/TERMINALS/BRIGHTNESS HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH3,1,TYPE-3 THRESHOLD/SURGE A,K1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH3,2,TYPE-3 THRESHOLD/SURGE B,K1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN3,1,CURRENT LIMIT A,K1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN3,2,CURRENT LIMIT B,K1_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI3,1,SENSE,K1_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI3,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RW3,1,WETTING/BLEED SHUNT A,K1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RW3,2,WETTING/BLEED SHUNT B,SAFETY_0V,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,1,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,2,VCC1,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,3,EN TIED HIGH,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,4,OUT1,OBS_K1_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,5,OUT2,OBS_K2_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,6,NC,INTENTIONALLY_UNUSED_UOBS2_6,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,7,NC,INTENTIONALLY_UNUSED_UOBS2_7,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,8,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,9,SUB2 FLOAT,INTENTIONALLY_UNUSED_UOBS2_9,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,10,SENSE2,K2_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,11,IN2,K2_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,12,FGND2,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,13,SUB1 FLOAT,INTENTIONALLY_UNUSED_UOBS2_13,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,14,FGND1,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,15,IN1,K1_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,16,SENSE1,K1_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH4,1,TYPE-3 THRESHOLD/SURGE A,K2_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH4,2,TYPE-3 THRESHOLD/SURGE B,K2_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN4,1,CURRENT LIMIT A,K2_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN4,2,CURRENT LIMIT B,K2_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI4,1,SENSE,K2_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI4,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
