package,role,presence_in_publisher_sbom,version,architecture,purl,selection_state,target_verification,safety_credit,warning
python3,runtime interpreter metapackage,PRESENT,3.13.5-1,arm64,pkg:deb/debian/python3@3.13.5-1?arch=arm64&distro=debian-13&upstream=python3-defaults,BASE_IDENTITY_CANDIDATE,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
python3-minimal,minimal runtime interpreter,PRESENT,3.13.5-1,arm64,pkg:deb/debian/python3-minimal@3.13.5-1?arch=arm64&distro=debian-13&upstream=python3-defaults,BASE_IDENTITY_CANDIDATE,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
systemd,service manager,PRESENT,257.13-1~deb13u1,arm64,pkg:deb/debian/systemd@257.13-1~deb13u1?arch=arm64&distro=debian-13,BASE_IDENTITY_CANDIDATE,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
systemd-sysv,boot integration,PRESENT,257.13-1~deb13u1,arm64,pkg:deb/debian/systemd-sysv@257.13-1~deb13u1?arch=arm64&distro=debian-13&upstream=systemd,BASE_IDENTITY_CANDIDATE,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
libgpiod3,GPIO character-device library,PRESENT,2.2.1-2+deb13u1,arm64,pkg:deb/debian/libgpiod3@2.2.1-2+deb13u1?arch=arm64&distro=debian-13&upstream=libgpiod,PRESENT_BACKEND_NOT_SELECTED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
gpiod,GPIO command tools,PRESENT,2.2.1-2+deb13u1,arm64,pkg:deb/debian/gpiod@2.2.1-2+deb13u1?arch=arm64&distro=debian-13&upstream=libgpiod,PRESENT_BACKEND_NOT_SELECTED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
python3-gpiozero,Python GPIO abstraction,PRESENT,2.0.1-0+rpt1+trixie,all,pkg:deb/debian/python3-gpiozero@2.0.1-0+rpt1+trixie?arch=all&distro=debian-13&upstream=gpiozero,PRESENT_BACKEND_NOT_SELECTED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
python3-lgpio,Python lgpio backend,PRESENT,0.2.2-1~rpt1+trixie,arm64,pkg:deb/debian/python3-lgpio@0.2.2-1~rpt1+trixie?arch=arm64&distro=debian-13&upstream=lg-gpio,PRESENT_BACKEND_NOT_SELECTED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
python3-serial,Python serial transport,ABSENT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT_PRESENT_SELECTION_REQUIRED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
dynamixel-sdk,ROBOTIS Python transport,ABSENT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT_PRESENT_SEPARATE_LOCK_REQUIRED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
openssh-server,remote access service,PRESENT,1:10.0p1-7+deb13u4,arm64,pkg:deb/debian/openssh-server@1:10.0p1-7+deb13u4?arch=arm64&distro=debian-13&upstream=openssh,PRESENT_POLICY_REQUIRED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
raspi-config,Raspberry Pi configuration tool,PRESENT,20260522,all,pkg:deb/debian/raspi-config@20260522?arch=all&distro=debian-13,BASE_IDENTITY_CANDIDATE,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
raspberrypi-sys-mods,Raspberry Pi system integration,PRESENT,1:20260612,arm64,pkg:deb/debian/raspberrypi-sys-mods@1:20260612?arch=arm64&distro=debian-13,BASE_IDENTITY_CANDIDATE,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
linux-image-rpi-2712,Raspberry Pi 5 kernel image,PRESENT,1:6.18.34-1+rpt1,arm64,pkg:deb/debian/linux-image-rpi-2712@1:6.18.34-1+rpt1?arch=arm64&distro=debian-13&upstream=linux,PRESENT_BOOT_READBACK_REQUIRED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
linux-image-rpi-v8,alternate Raspberry Pi kernel image,PRESENT,1:6.18.34-1+rpt1,arm64,pkg:deb/debian/linux-image-rpi-v8@1:6.18.34-1+rpt1?arch=arm64&distro=debian-13&upstream=linux,PRESENT_BOOT_READBACK_REQUIRED,NOT_EXECUTED,NONE,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
