name,version,architecture,distro,upstream,purl,spdx_id,files_analyzed,package_verification_code,supplier,source_info,evidence_state,warning
7zip,25.01+dfsg-1~deb13u2,arm64,debian-13,,pkg:deb/debian/7zip@25.01+dfsg-1~deb13u2?arch=arm64&distro=debian-13,SPDXRef-Package-deb-7zip-cbf2719a4ece4588,true,c9f4e59153123ce16b2b252b88450b2e1fdbd270,Person: YOKOTA Hiroshi (yokota.hgml@gmail.com),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/7zip/copyright, /var/lib/dpkg/info/7zip.md5sums, /var/lib/dpkg/info/7zip.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
adduser,3.152,all,debian-13,,pkg:deb/debian/adduser@3.152?arch=all&distro=debian-13,SPDXRef-Package-deb-adduser-3d43575450a8f3e7,true,5e21f608bf87a29150f75aa8f1cbdc026f0ede00,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/adduser/copyright, /var/lib/dpkg/info/adduser.conffiles, /var/lib/dpkg/info/adduser.md5sums, /var/lib/dpkg/info/adduser.list, /var/lib/dpkg/info/adduser.postrm, /var/lib/dpkg/info/adduser.preinst",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
alsa-topology-conf,1.2.5.1-3,all,debian-13,,pkg:deb/debian/alsa-topology-conf@1.2.5.1-3?arch=all&distro=debian-13,SPDXRef-Package-deb-alsa-topology-conf-5554bedebc8c2d8a,true,a60eaa5678251ec0e1e67533d8a78d3e2ef5f97e,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/alsa-topology-conf/copyright, /var/lib/dpkg/info/alsa-topology-conf.md5sums, /var/lib/dpkg/info/alsa-topology-conf.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
alsa-ucm-conf,1.2.14-1,all,debian-13,,pkg:deb/debian/alsa-ucm-conf@1.2.14-1?arch=all&distro=debian-13,SPDXRef-Package-deb-alsa-ucm-conf-e1b4fdf3c865f957,true,a17ca63ce1a474eb21e7a3010f7e6ac922145c91,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/alsa-ucm-conf/copyright, /var/lib/dpkg/info/alsa-ucm-conf.md5sums, /var/lib/dpkg/info/alsa-ucm-conf.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
alsa-utils,1.2.14-1+rpt1,arm64,debian-13,,pkg:deb/debian/alsa-utils@1.2.14-1+rpt1?arch=arm64&distro=debian-13,SPDXRef-Package-deb-alsa-utils-71d21bf5d67a3d73,true,be838fa94f4a7fd20678992bea5f166204032762,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/alsa-utils/copyright, /var/lib/dpkg/info/alsa-utils.conffiles, /var/lib/dpkg/info/alsa-utils.md5sums, /var/lib/dpkg/info/alsa-utils.list, /var/lib/dpkg/info/alsa-utils.postinst, /var/lib/dpkg/info/alsa-utils.postrm, /var/lib/dpkg/info/alsa-utils.preinst, /var/lib/dpkg/info/alsa-utils.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
apparmor,4.1.0-1,arm64,debian-13,,pkg:deb/debian/apparmor@4.1.0-1?arch=arm64&distro=debian-13,SPDXRef-Package-deb-apparmor-3ce8d5355aa23c61,true,23c6c255d56b4ee5fe746e1d4af3598341a06225,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/apparmor/copyright, /var/lib/dpkg/info/apparmor.conffiles, /var/lib/dpkg/info/apparmor.md5sums, /var/lib/dpkg/info/apparmor.config, /var/lib/dpkg/info/apparmor.list, /var/lib/dpkg/info/apparmor.postinst, /var/lib/dpkg/info/apparmor.postrm, /var/lib/dpkg/info/apparmor.preinst, /var/lib/dpkg/info/apparmor.prerm, /var/lib/dpkg/info/apparmor.templates",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
apt,3.0.3,arm64,debian-13,,pkg:deb/debian/apt@3.0.3?arch=arm64&distro=debian-13,SPDXRef-Package-deb-apt-facf68475984aa8d,true,c54cd2bfdf0cf6e3f060b2511b2179c0913e3a98,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/apt/copyright, /var/lib/dpkg/info/apt.conffiles, /var/lib/dpkg/info/apt.md5sums, /var/lib/dpkg/info/apt.list, /var/lib/dpkg/info/apt.postinst, /var/lib/dpkg/info/apt.postrm, /var/lib/dpkg/info/apt.preinst, /var/lib/dpkg/info/apt.prerm, /var/lib/dpkg/info/apt.shlibs, /var/lib/dpkg/info/apt.triggers",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
apt-listchanges,4.8,all,debian-13,,pkg:deb/debian/apt-listchanges@4.8?arch=all&distro=debian-13,SPDXRef-Package-deb-apt-listchanges-71223632214433f4,true,57801e6bb7d5bb169b4b2c33f8caa7b802db00a3,Person: Jonathan Kamens (jik@kamens.us),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/apt-listchanges/copyright, /var/lib/dpkg/info/apt-listchanges.conffiles, /var/lib/dpkg/info/apt-listchanges.md5sums, /var/lib/dpkg/info/apt-listchanges.config, /var/lib/dpkg/info/apt-listchanges.list, /var/lib/dpkg/info/apt-listchanges.postinst, /var/lib/dpkg/info/apt-listchanges.postrm, /var/lib/dpkg/info/apt-listchanges.preinst, /var/lib/dpkg/info/apt-listchanges.prerm, /var/lib/dpkg/info/apt-listchanges.templates",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
apt-utils,3.0.3,arm64,debian-13,apt,pkg:deb/debian/apt-utils@3.0.3?arch=arm64&distro=debian-13&upstream=apt,SPDXRef-Package-deb-apt-utils-7120f7439cdaabdf,true,9bf1bcb1f7c9ea42bd41cc2e9c2305f96bc9e51b,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/apt-utils/copyright, /var/lib/dpkg/info/apt-utils.md5sums, /var/lib/dpkg/info/apt-utils.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
avahi-daemon,0.8-16,arm64,debian-13,avahi,pkg:deb/debian/avahi-daemon@0.8-16?arch=arm64&distro=debian-13&upstream=avahi,SPDXRef-Package-deb-avahi-daemon-7004156d424c9ae3,true,f5cab2b53ae05858674075f8c6277979e106528b,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/avahi-daemon/copyright, /var/lib/dpkg/info/avahi-daemon.conffiles, /var/lib/dpkg/info/avahi-daemon.md5sums, /var/lib/dpkg/info/avahi-daemon.list, /var/lib/dpkg/info/avahi-daemon.postinst, /var/lib/dpkg/info/avahi-daemon.postrm, /var/lib/dpkg/info/avahi-daemon.preinst, /var/lib/dpkg/info/avahi-daemon.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
base-files,13.8+deb13u5,arm64,debian-13,,pkg:deb/debian/base-files@13.8+deb13u5?arch=arm64&distro=debian-13,SPDXRef-Package-deb-base-files-ba3c1ddbd3441e85,true,8e1dbfed44947d2086f65742bc9efb0d8e58c4a8,Person: Santiago Vila (sanvila@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/base-files/copyright, /var/lib/dpkg/info/base-files.conffiles, /var/lib/dpkg/info/base-files.md5sums, /var/lib/dpkg/info/base-files.list, /var/lib/dpkg/info/base-files.postinst, /var/lib/dpkg/info/base-files.postrm, /var/lib/dpkg/info/base-files.preinst, /var/lib/dpkg/info/base-files.triggers",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
base-passwd,3.6.7,arm64,debian-13,,pkg:deb/debian/base-passwd@3.6.7?arch=arm64&distro=debian-13,SPDXRef-Package-deb-base-passwd-a59a5bdd15bd91fe,true,b2517ffc26d5dd3d3e9805f59c9dcf193dfddfee,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/base-passwd/copyright, /var/lib/dpkg/info/base-passwd.md5sums, /var/lib/dpkg/info/base-passwd.list, /var/lib/dpkg/info/base-passwd.postinst, /var/lib/dpkg/info/base-passwd.postrm, /var/lib/dpkg/info/base-passwd.preinst, /var/lib/dpkg/info/base-passwd.templates",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
bash,5.2.37-2+b9,arm64,debian-13,bash@5.2.37-2,pkg:deb/debian/bash@5.2.37-2+b9?arch=arm64&distro=debian-13&upstream=bash@5.2.37-2,SPDXRef-Package-deb-bash-79c4e0d9831e08a9,true,1de29abe6b1fec21fdb9782fe8bdbe97f7589a31,Person: Matthias Klose (doko@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bash/copyright, /var/lib/dpkg/info/bash.conffiles, /var/lib/dpkg/info/bash.md5sums, /var/lib/dpkg/info/bash.list, /var/lib/dpkg/info/bash.postinst, /var/lib/dpkg/info/bash.postrm, /var/lib/dpkg/info/bash.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
