axis_index,axis_id,provisional_global_id,bus_id,family,expected_first_readback,torque_command,bus_transmit,id_write,authority,warning
0,L_HIP_YAW,1,RS-LLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1,L_HIP_ROLL,2,RS-LLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,L_HIP_PITCH,3,RS-LLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,L_KNEE_PITCH,4,RS-LLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,L_ANKLE_PITCH,5,RS-LLEG,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,L_ANKLE_ROLL,6,RS-LLEG,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,R_HIP_YAW,7,RS-RLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,R_HIP_ROLL,8,RS-RLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,R_HIP_PITCH,9,RS-RLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,R_KNEE_PITCH,10,RS-RLEG,XH540,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,R_ANKLE_PITCH,11,RS-RLEG,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,R_ANKLE_ROLL,12,RS-RLEG,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,L_SHOULDER_PITCH,13,RS-LARM,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
13,L_SHOULDER_ROLL,14,RS-LARM,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
14,L_ELBOW_PITCH,15,RS-LARM,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
15,R_SHOULDER_PITCH,16,RS-RARM,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
16,R_SHOULDER_ROLL,17,RS-RARM,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
17,R_ELBOW_PITCH,18,RS-RARM,XM430,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,COMPILE-TIME DISABLED,COMPILE-TIME DISABLED,PROHIBITED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - HOST AND UNFLASHED TARGET NO-MOTION EVIDENCE ONLY - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
