route_id,part_scope,geometry_revision,quantity_candidate,process_sequence,candidate_provider,current_primary_evidence,allowed_current_action,release_state,blocking_evidence,warning
R69-FAB-001,MV0-C01 standard adapter,HR-V0-ARM-ARCH-P0.7,1,One-stop high-requirement 3-axis CNC from accepted drawing STEP and DXF,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"Written acceptance of nondefault +/-0.05 mm controls; T651/MTR acceptance; exact commit/files/hashes; DFM; separate first article; FAI; proof; qualified disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-002,MV0-C04 H104 adapter,HR-V0-ARM-ARCH-P0.7,1,One-stop 3-axis CNC from accepted drawing STEP and DXF,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"Received H104 fit; MTR; exact commit/files/hashes; DFM; first article; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-003,MV0-C05 shoulder support,HR-V0-ARM-ARCH-P0.7,1,One-stop 3-axis CNC from accepted drawing STEP and DXF,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"Received S102/40-4040 fit; T-slot proof; MTR; DFM; first article; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-004,MV0-C06 moving stop striker adapter,HR-V0-ARM-ARCH-P0.7 / HR-V0-J2-STOP-P0.1,1,One-stop high-requirement 3-axis CNC with common joint-hole datum and retained CMM results,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified stop review,HOLD - STOP REVIEW AND BUMPER SELECTION REQUIRED,"Written +/-0.025 mm rail-datum acceptance; STOP-001/002/005; MTR; DFM; separate first article; CMM; contact/load/tolerance/proof evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-005,MV0-C07 fixed stop catch adapter,HR-V0-ARM-ARCH-P0.7 / HR-V0-J2-STOP-P0.1,1,One-stop high-requirement 3-axis CNC with controlled face step and retained surface map,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified stop review,HOLD - STOP REVIEW AND BUMPER SELECTION REQUIRED,"Written 1.000 +/-0.05 mm step and <=0.03 mm coplanarity acceptance; STOP-003/004/005; MTR; DFM; separate first article; CMM; contact/load/proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-006,C01/C04/C05/C06/C07 alternate one-stop route,HR-V0-ARM-ARCH-P0.7,5,One-stop 3-axis CNC from accepted drawings STEP and DXF,Protolabs,https://www.protolabs.com/services/cnc-machining/aluminum/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING AND STOP REVIEW REQUIRED,"Exact material/temper and MTR; received interface fit; DFM; separate first article by geometry; FAI; stop proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-007,C01/C04/C05/C06/C07 oversized profile blanks plus secondary machining,HR-V0-ARM-ARCH-P0.7,5,9.53 mm oversized profile blank only then qualified secondary 3-axis CNC,SendCutSend plus SELECTION REQUIRED secondary shop,https://sendcutsend.com/services/countersinking/,Research contingency only - direct finished-part route excluded and no controlled profile-only upload artifact exists,HOLD - NO UPLOAD ARTIFACT; FINISHED-PART ROUTE EXCLUDED,"Published +/-0.381 mm and standard 10 mm M5 countersink do not meet P0.7; separate oversized blank artifacts; T6/T651 and MTR disposition; traceability; secondary datum/fixture plan; finished-feature capability; DFM; first articles; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-008,C01/C04/C05/C06/C07 local capability inspection or finishing,HR-V0-ARM-ARCH-P0.7,5,Bridgeport CNC mill capability with exact process SELECTION REQUIRED,Artisans Asylum,https://www.artisansasylum.com/shops/machine,Capability/training/fixture/supplemental-inspection inquiry only,HOLD - APPLICATION CAPABILITY UNVERIFIED,"Operator/access; 3/8-in 6061 policy; workholding; CAM; +/-0.05/0.025 mm controls; face-step/coplanarity capability; calibrated metrology; FAI responsibility; site rules; accepted job",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-009,20-2040 member 100 mm plus 20-7047 service,HR-V0-ARM-ARCH-P0.7,1,Catalog cut plus two-hole M5x0.8 end-tap service,80/20,https://8020.net/20-2040.html,Written configuration and DFM confirmation only,HOLD - RECEIVED INSPECTION AND PROOF REQUIRED,"Supplier confirmation; length/squareness; tap location/depth; thread gauge; identity; joint proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R69-FAB-010,20-2040 member 50 mm plus 20-7047 service,HR-V0-ARM-ARCH-P0.7,1,Catalog cut plus two-hole M5x0.8 end-tap service,80/20,https://8020.net/20-2040.html,Written configuration and DFM confirmation only,HOLD - RECEIVED INSPECTION AND PROOF REQUIRED,"Supplier confirmation; length/squareness; tap location/depth; thread gauge; identity; joint proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
