route_id,part_scope,geometry_revision,quantity_candidate,process_sequence,candidate_provider,current_primary_evidence,allowed_current_action,release_state,blocking_evidence,warning
R66-FAB-001,MV0-C01 adapter,HR-V0-ARM-ARCH-P0.6,3,One-stop 3-axis CNC from accepted drawing STEP and DXF,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"MTR acceptance; exact commit/files/hashes; DFM; separate first article; FAI; proof; qualified disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-002,MV0-C04 H104 adapter,HR-V0-ARM-ARCH-P0.6,1,One-stop 3-axis CNC from accepted drawing STEP and DXF,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"Received H104 fit; MTR; exact commit/files/hashes; DFM; separate first article; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-003,MV0-C05 shoulder support,HR-V0-ARM-ARCH-P0.6,1,One-stop 3-axis CNC from accepted drawing STEP and DXF,Xometry,https://www.xometry.com/capabilities/cnc-machining-service/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"Received S102/40-4040 fit; T-slot proof; MTR; DFM; separate first article; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-004,C01/C04/C05 alternate one-stop route,HR-V0-ARM-ARCH-P0.6,5,One-stop 3-axis CNC from accepted drawings STEP and DXF,Protolabs,https://www.protolabs.com/services/cnc-machining/aluminum/,Capability and DFM inquiry only after qualified drawing review,HOLD - QUALIFIED DRAWING REVIEW REQUIRED,"Exact material/temper and MTR; received interface fit; DFM; separate first articles by geometry; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-005,C01/C04/C05 profile blanks plus secondary machining,HR-V0-ARM-ARCH-P0.6,5,Profile cut without holes or countersinks then qualified secondary 3-axis CNC,SendCutSend plus SELECTION REQUIRED secondary shop,https://sendcutsend.com/blog/6061-t6-aluminum-laser-cutting-service/,Research only - no controlled profile-only upload artifact exists,HOLD - NO UPLOAD ARTIFACT,"Separate hole-free artifacts; traceability; secondary datum/fixture plan; finished-feature capability; DFM; first articles; FAI; proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-006,C01/C04/C05 local capability inspection or finishing,HR-V0-ARM-ARCH-P0.6,5,Exact machine and process SELECTION REQUIRED,Artisans Asylum,https://www.artisansasylum.com/home/,Capability/training/inspection inquiry only,HOLD - CAPABILITY UNVERIFIED,"Exact machine; operator/access; 6061 policy; workholding; CAM; tolerance; calibrated metrology; insurance/site rules; accepted job",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-007,20-2040 member 100 mm plus 20-7047 service,HR-V0-ARM-ARCH-P0.6,1,Catalog cut plus two-hole M5x0.8 end-tap service,80/20,https://8020.net/20-2040.html,Written configuration and DFM confirmation only,HOLD - RECEIVED INSPECTION AND PROOF REQUIRED,"Supplier confirmation; length/squareness; tap location/depth; thread gauge; identity; joint proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-008,20-2040 member 50 mm plus 20-7047 service,HR-V0-ARM-ARCH-P0.6,1,Catalog cut plus two-hole M5x0.8 end-tap service,80/20,https://8020.net/20-2040.html,Written configuration and DFM confirmation only,HOLD - RECEIVED INSPECTION AND PROOF REQUIRED,"Supplier confirmation; length/squareness; tap location/depth; thread gauge; identity; joint proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-009,Bench anchor,SELECTION REQUIRED,2,Process SELECTION REQUIRED after actual Boston bench survey,SELECTION REQUIRED,SELECTION REQUIRED,Site survey only,SITE HOLD,"Bench substrate; edge distance; underside access; anchor system; pull-out basis; DFM; FAI; proof; site approval",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
R66-FAB-010,Nonstructural fit guard and cable aids,PROTOTYPE ONLY,SELECTION REQUIRED,Approved nonstructural prototype process,Boston Public Library or FabVille,https://www.bpl.org/kblic/; https://fabville.org/,Design training or nonstructural prototypes only,EXCLUDED FROM PRIMARY STRUCTURAL LOAD PATH,"Facility policy/material; prototype identification; exclusion from primary structure; released guarding",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
