gate_id,decision,evidence_required,owner_role,state,warning
R258-GT-01,Verify exact archive SHA-256 and deterministic reproduction,dedicated checker and independent hash record,CONFIGURATION,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-02,Confirm intended organization and current public route,same-day attributable route check,PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-03,Select sender identity and monitored reply address,named adult-controlled identities,PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-04,Review route-specific message and attachments,signed no-leakage/content review,CONFIGURATION + TECHNICAL,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-05,Scan exact archive before transmission,current malware/content scan record,INFORMATION SECURITY,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-06,Authorize one exact transmission,"signed route, archive hash, recipient, sender and expiry",PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-07,Record actual transmission event,"timestamp, transport, recipient and archive hash",SENDER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-08,Verify provider receipt without authorizing work,attributable receipt acknowledgement,PROGRAM OWNER,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-09,Ingest and hash returned evidence,immutable response register; no technical acceptance inferred,CONFIGURATION,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-10,Prohibit stale/superseded bundle use,P0.1/current-commit verification immediately before any send,SENDER + CONFIGURATION,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R258-GT-11,Accept redistribution authority for the three vendor STEP files,current license/permission evidence covering external transmission to the exact recipient,PROGRAM OWNER + LEGAL/CONFIGURATION,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
