hold_id,topic,state,evidence_uri,warning
OFH-HOLD-001,"received XT1 and R202 terminal identity, orientation and damage inspection",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-002,exact installed XT1 and JFIELD1 endpoint coordinates and connector exit directions,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-003,measured physical route and exact cut length for each of W9007-W9011,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-004,"service loop, termination allowance, tolerance and strain-relief definition",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-005,"usable duct area, existing occupancy, fill, cover fit and status/power separation",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-006,15 mm minimum stationary bend radius and transition support in the installed route,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-007,"qualified direct-strip process, strip gages and calibrated torque driver",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-008,"strand damage, exposed copper, insertion, torque, pull and post-torque inspection records",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-009,both-end wire labels and independent continuity/polarity/no-short inspection,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-010,"field-to-compute isolation, startup/brownout/back-power and cable-fault evidence",OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-011,installed EMC and thermal evidence with actuator-current conductors present,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OFH-HOLD-012,qualified electrical/panel review and separate written work authorization,OPEN - SELECTION/EVIDENCE REQUIRED,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
