cable_piece_id,corridor,joint_axis,stage,parallel_piece_index,parallel_piece_count,carried_protected_pairs,unused_pair,candidate_part,conductor_configuration,catalog_amp_rating_a,maximum_hr30_channel_cap_a,catalog_current_screen,flat_width_mm,flat_height_mm,continuous_flex_radius_mm,nominal_flex_cycle_claim,joint_range,nominal_joint_arc_deg,actual_cut_length,state,authority,warning
APH-WAIST_YAW-C1,HN01_TORSO_POWER_SPINE,WAIST_YAW,1,1,1,WAIST_YAW,YES - INSULATED BOTH ENDS,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,2.499010,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,speed <=15 deg/s in HR-30A,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-HEAD_PAN-C1,HN01_HEAD_POWER_BRANCH,HEAD_PAN,1,1,1,HEAD_PAN; HEAD_TILT,NO,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,0.700000,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-HEAD_TILT-C1,HN01_HEAD_POWER_BRANCH,HEAD_TILT,2,1,1,HEAD_TILT,YES - INSULATED BOTH ENDS,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,0.700000,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_SHOULDER_PITCH-C1,HN01_L_ARM_POWER,L_SHOULDER_PITCH,1,1,3,L_SHOULDER_PITCH; L_SHOULDER_ROLL,NO,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,1.998670,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_SHOULDER_PITCH-C2,HN01_L_ARM_POWER,L_SHOULDER_PITCH,1,2,3,L_ELBOW_PITCH; L_WRIST_ROTATION,NO,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,1.998670,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_SHOULDER_PITCH-C3,HN01_L_ARM_POWER,L_SHOULDER_PITCH,1,3,3,L_GRIPPER,YES - INSULATED BOTH ENDS,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,0.700000,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_SHOULDER_ROLL-C1,HN01_L_ARM_POWER,L_SHOULDER_ROLL,2,1,2,L_SHOULDER_ROLL; L_ELBOW_PITCH,NO,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,1.998670,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_SHOULDER_ROLL-C2,HN01_L_ARM_POWER,L_SHOULDER_ROLL,2,2,2,L_WRIST_ROTATION; L_GRIPPER,NO,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,0.700000,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_ELBOW_PITCH-C1,HN01_L_ARM_POWER,L_ELBOW_PITCH,3,1,2,L_ELBOW_PITCH; L_WRIST_ROTATION,NO,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,1.998670,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-L_ELBOW_PITCH-C2,HN01_L_ARM_POWER,L_ELBOW_PITCH,3,2,2,L_GRIPPER,YES - INSULATED BOTH ENDS,969M101-22-4-MC,"4 x 22 AWG; pair A contacts 1/2, pair B contacts 3/4; polarity keyed on tap-board drawing",8.0,0.700000,PASS CATALOG NUMBER ONLY - BUNDLING/TERMINATION/AMBIENT DERATING OPEN,8.128,2.794,27.940,10000000,SELECTION REQUIRED,120,SELECTION REQUIRED AFTER FULL-RANGE ROUTE SWEEP,DIMENSIONED NOMINAL CROSSING; FULL-RANGE FLEX/TWIST/COLLISION AND TERMINATION PROOF OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
