source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,authority,warning
APH-S01,Project Button,"25 named joint axes, ranges and legacy final-axis loop obligations",whole-body P0.1 current input,hr30/whole-body-p0.1/harness/physical-p0.1/service-loop-register.csv,022634019b2adfcca5946ea92684fb464838487a38c3913779a4c8aad073a4da,"25 named joint axes, ranges and legacy final-axis loop obligations","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S02,Project Button,whole-body fixed corridors and route datums,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/physical-p0.1/route-point-register.csv,3a43f204148e4be247ccee2a7afcaf5012db53e1130fd28629bd70133400ef19,whole-body fixed corridors and route datums,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S02A,Project Button,76 physical direct-power crossing centerlines and axis obligations,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/physical-p0.1/direct-power-crossing-register.csv,7eb4e5d155505209f9f8a99f5d8f389470bdd94511d60ee3b6f79373fc0f2a3d,76 physical direct-power crossing centerlines and axis obligations,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S03,Project Button,25 individually protected pair allocations and current caps,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/distributed-power-harness-successor-p0.1/axis-core-allocation.csv,e550235a8d5af01ae2bf717ec6dfb837310c2dee32937b9fb5753d5a7807efbd,25 individually protected pair allocations and current caps,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S04,Project Button,25 protected output and return-net bindings,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/physical-p0.1/actuator-power-drop-register.csv,7436445b0ef75ffbb6f5fd767ea92fee792ac9ca54df4e17a42ab57d4daea78d,25 protected output and return-net bindings,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S05,Project Button,25 fixed-side Micro-Fit transition bindings,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/physical-p0.1/actuator-power-transition-register.csv,c973f92cfec852c6b08a5e1c7e309a9606301f6643429db248daf8b1ed3eafed,25 fixed-side Micro-Fit transition bindings,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S06,Project Button,25 placed transition-bracket candidate assemblies,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/actuator-transition-brackets-p0.1/HR30_25_axis_transition_brackets_candidate.step,03ef6d459eac538d5ef2a6c24bc2a782103058a9db72ead56757acaad3e0e833,25 placed transition-bracket candidate assemblies,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S07,Project Button,six root protection/distribution node obligations,whole-body P0.1 current input,hr30/whole-body-p0.1/harness/distributed-power-harness-successor-p0.1/distribution-node-register.csv,fdf295b2a1975445b6ddc18e52b1f79c215047652e64e7d2aec74098933ac064,six root protection/distribution node obligations,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S08,Project Button,complete humanoid context for combined GLB,whole-body P0.1 current input,hr30/whole-body-p0.1/HR-30_body_architecture_candidate.step,5c5894eac3315414a7aef4cc67e6b6d3ae407fde37d49f888fceaf1269a9c329,complete humanoid context for combined GLB,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
APH-S09,Project Button,deterministic Blender engineering-preview renderer,whole-body P0.1 current input,tools/render_glb_preview.py,ec772f536122fceab2b23a1653413564ae79a118f986e0556cde98aecd9627ac,deterministic Blender engineering-preview renderer,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - ARTICULATED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
