zone_id,family,definition,singular_zone,material_fragment_count,material_volume_mm3,fragment_tags_diagnostic_only_json,fragment_signatures_sha256_json,classification,warning
C07-PE-WEST-STRAIGHT,C07-PE,x=37.8 +/-1; z=-17.2..19.2; y=7.005..8.525,False,1,91.72799999999994,[39],"[""7b2d430c6a748d9e23b012e6465861db7ed6599c18db762c025e68218777c3a4""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-NORTH-STRAIGHT,C07-PE,z=21.2 +/-1; x=39.8..48.2; y=7.005..8.525,False,1,18.614400000000007,[47],"[""141f91666bbbd870be66fe8331b2b754d1f26bacbc5561614a3290c50718959b""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-EAST-STRAIGHT,C07-PE,x=50.2 +/-1; z=-17.2..19.2; y=7.005..8.525,False,1,91.72799999999998,[41],"[""c42adaee72e851a0bacf9a973bbd9e138bbf507affae6ea8efaf653a1ac09dd6""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-SOUTH-STRAIGHT,C07-PE,z=-19.2 +/-1; x=39.8..48.2; y=7.005..8.525,False,1,18.614400000000007,[31],"[""03da5914ee7553e289806bfa6a2b7b9607bbc2ba03ead87926344dd6259079dd""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-SOUTH-WEST-R2,C07-PE,"quarter annulus r=1..3 about (39.8,-17.2), southwest",False,1,8.10544381331374,[30],"[""e547d88800533c733a17884b650c9c10d0861efb6ce9cc704d9117f8114d8a13""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-NORTH-WEST-R2,C07-PE,"quarter annulus r=1..3 about (39.8,19.2), northwest",False,1,8.105443813313794,[40],"[""ab427fcb9da9863c6fd24c452fec0bab75a8aa283db831546bc31c8d5c13d5dc""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-NORTH-EAST-R2,C07-PE,"quarter annulus r=1..3 about (48.2,19.2), northeast",False,1,8.10544381331377,[42],"[""502a84c061b256568c3d8459ad013cda6269f530342f497013dcc5cf42783f7d""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-SOUTH-EAST-R2,C07-PE,"quarter annulus r=1..3 about (48.2,-17.2), southeast",False,1,8.105443813313775,[32],"[""91292def7370e4016f2de63ed0ae44bde6f61c247e1386e74ae4708db3f47212""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PF,C07-PF,pocket plan inset 1.0 mm; y=7.005..8.005,False,1,398.50159265358985,[10],"[""535a180a00f3c361d0429f9bdf15debca34b0c34de6b37ad7db79276ea8144a0""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,distance <=1 mm from exact H1 front rim at y=0.0,True,1,8.756378073128586,[44],"[""2eb2def803245f05ef2d7fe2bedfc0ce7eca2bf7d34fb5d67d91ebe6271c3449""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
