hold_id,scope,evidence_required,warning
OBS3-HOLD-001,R202 inherited field application,"Close every P0.2 Y32, H1, K1/K2 wetting, EMC, grounding and thermal hold against received parts","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-002,Pi 3V3 envelope,"Obtain authoritative Pi 5 external-load and rail-tolerance limits; then measure startup, steady, brownout and shutdown rail behavior","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-003,Pi GPIO DC interface,"Obtain authoritative RP1 VIH, VIL, leakage, capacitance, clamp and unpowered-pin limits or an application-specific Raspberry Pi acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-004,buffer application,"Qualified electrical review of the four exact SN74LVC1G125DBVR supply, OE grounding, transition-rate, delta-ICC, fault-current, output-divider and thermal screens","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-005,PCB DFM,"Selected fabricator accepts the updated DBV-5/0805 lands, four-layer stack, spacing, mask, legend, holes, zones and board drawing","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-006,assembly process,"Selected assembler accepts stencil, paste, solder alloy/profile, cleaning, AOI, rework and first-article controls","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-007,harness timing and EMC,"Measure installed conductor capacitance, rise/fall time, crosstalk, actuator-current interference, routing and separation","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-008,partial power and back-power,"Execute OFF, ramp, active, brownout, shutdown, field-only, open, short-to-return, short-to-3V3 and cross-short cases","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-009,received identity,"Inspect exact UOBS1/UOBS2/UBUF1-UBUF4/resistor/capacitor/terminal identities, markings, orientation and damage","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-010,unpowered board inspection,"Inspect dimensions, holes, lands, isolation corridor, continuity, shorts, residue and no unintended field/compute bond","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-011,powered isolated fixture,"Execute voltage, current, truth-table, rail, thermal and timing tests only under a separately authorized isolated fixture procedure","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-012,software fail-closed behavior,Prove every unknown or invalid observation inhibits ordinary heartbeat/motion authority and cannot create a restart,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-013,safety boundary,Qualified reviewer confirms the entire observation path remains ordinary diagnostic circuitry with zero safety credit,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-HOLD-014,work authority,"Separate written authorization is required before procurement, fabrication, assembly, connection or powered testing","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
