case_id,hazard_class,equation,calculated_energy_j,use,limitations,state
GIE-001,controlled payload translation,0.5 * 0.100 kg * (0.150 m/s)^2,0.001125,normal-command payload subcase,"does not include drop, rebound, link contact, overspeed, drive persistence or detached parts",CALCULATED SUBCASE; NOT A GUARD RATING
GIE-002,controlled moving-mass equivalent,0.5 * 0.750 kg * (0.150 m/s)^2,0.008438,conservative controlled-mode translation screen,lumps the full moving-mass ceiling at TCP speed; actual rigid-body inertia and contact point remain open,CALCULATED SCREEN; NOT A GUARD RATING
GIE-003,payload vertical drop,0.100 kg * 9.80665 m/s^2 * 0.950 m,0.931632,receiver/catch test input,"does not address rebound, off-axis release, link contact or metal debris",CALCULATED SUBCASE; TEST METHOD OPEN
GIE-004,payload drop plus allowed translation,GIE-003 + GIE-001,0.932757,combined payload-only planning screen,"scalar energy sum is intentionally conservative but does not define direction, impactor or acceptance",CALCULATED SUBCASE; TEST METHOD OPEN
GIE-005,single-axis catalog no-load mass-ceiling screen,0.5 * 0.750 kg * (0.360 m * 30 rpm * 2*pi/60)^2,0.479663,overspeed sensitivity only,"point-mass ceiling; excludes reflected inertia, gravity, compliance, current persistence and voltage fault; no-load speed is not a guaranteed physical maximum",ENDPOINT SCREEN ONLY; INCOMPLETE
GIE-006,combined-axis catalog no-load mass-ceiling screen,0.5 * 0.750 kg * ((0.360+0.15745) m * 30 rpm * 2*pi/60)^2,0.990987,simultaneous-axis overspeed sensitivity only,"deliberately places all mass at the outer radius; still excludes reflected inertia, gravity, compliance, drive persistence, voltage fault and actual contact geometry",ENDPOINT SCREEN ONLY; INCOMPLETE
GIE-007,RAW 800 drive persistence sensitivity,5.18 N m * pi/180 rad,0.090408,energy added per degree per XM540 while candidate torque persists,"actual angle/time, dynamic torque and simultaneous-axis behavior are unresolved",UNIT SENSITIVITY ONLY; CASE NOT CLOSED
GIE-008,stall-endpoint persistence sensitivity,10.6 N m * pi/180 rad,0.185005,forbidden endpoint sensitivity per degree per XM540,stall torque is momentary and zero-speed; it cannot be combined with no-load speed,CATALOG ENDPOINT SENSITIVITY; NOT A DESIGN LOAD
GIE-009,detached hardware or tool,0.5 * m_detached * v_detached^2 plus rotational terms,SELECTION REQUIRED,outer-panel and top containment,"exact retained parts, failure mode, mass, shape, velocity, direction and rebound are unresolved",BLOCKING INPUT OPEN
GIE-010,powered link bearing on panel,integral(torque dtheta) plus pre-contact kinetic and gravity energy,SELECTION REQUIRED,panel/frame/joint/anchor structural case,"contact point, force path, detection latency, energy removal, effective inertia and compliance are unresolved",BLOCKING INPUT OPEN
GIE-011,static access and push-out,released force/displacement method,SELECTION REQUIRED,"panel retention, frame and access validation","qualified method, force, probe, application and acceptance values are unresolved",BLOCKING INPUT OPEN
