hold_id,scope,evidence_required,status,release_effect
XG2-H01,CONFIGURATION,"Approve or reject XC330 P0.2 and update GRIP-002, BOM, ECAD, firmware, CAD and mass baseline atomically.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H02,RECEIVED SOURCE,"Receive and register one XC330 and two allocated FPX330-S101 frames; verify drawings, B-Rep, hole axes, flatness and individual masses.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H03,FRAME INSTALLATION,"Verify eight PHS M2x8 TAP screws, seating, tap engagement, torque, locking, reuse, cable groove and no case damage.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H04,OUTPUT INSTALLATION,"Verify four PHS M2x6 TAP screws, 3.0 mm hub stack, head/tool access, seating, engagement, torque, locking, reuse and centre-fastener access.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H05,EAR FASTENERS,"Select exact ear fastener/nut order code, length, head, washer, access, torque and locking for the 3 mm ear plus received S101 stack.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H06,GEAR PROCESS,"Release root fillet, tip relief, print compensation, backlash tolerance, orientation, support, material, drying, machine/nozzle/layer/wall/infill and inspection coupon.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H07,GUIDANCE/END STOPS,"Prove rack running clearance, straightness, debris tolerance, cover retention, end stops, external jaw load and jam behavior.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H08,GUARD,Close both cover travel slots and every rack/pinion/jaw pinch line with retained probe-tested guarding or bellows.,OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H09,WRIST LOAD PATH,"Design and prove the exact H104-to-X330/S101 transform, fasteners, cable clearance, structural load path and collision sweep in the P0.7 arm.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H10,PADS/OBJECT,"Select exact pad and retention; calibrate installed opening, parallelism, compression, damage, wear and the reference foam article.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H11,FORCE/CURRENT/THERMAL,"Establish current, grip force, repeatability, temperature and duty limits with calibrated instruments; no stall or estimated-rated acceptance credit.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H12,POWER/CABLE,"Close 11.1 V source, branch protection, conductors, connector, cable length, bend radius, strain relief, flex life and communication/watchdog behavior.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H13,POWER LOSS/DROP,Prove commanded-open and power-loss object containment in the fixed receiver with approved abort criteria.,OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H14,MASS/INERTIA,"Measure all received moving items and reconcile assembled mass, COM and inertia without omission or double counting.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H15,PHYSICAL PROOF,"Execute fit, FAI, no-load, low-energy guarded, force, wear, retention, fault and proof tests under authorized procedures.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
XG2-H16,QUALIFIED REVIEW,"Obtain signed mechanical, electrical and safety review of one frozen configuration before any release state changes.",OPEN,NO PROCUREMENT/FABRICATION/ASSEMBLY/CONNECTION/MOTION/ENERGIZATION
