fragment_tag_diagnostic_only,fragment_signature_sha256,bbox_mm_json,center_of_mass_mm_json,volume_mm3,zone_membership_count,zone_id,membership_rule,warning
10,535a180a00f3c361d0429f9bdf15debca34b0c34de6b37ad7db79276ea8144a0,"[38.7999999,7.0049999,-18.2000001,49.2000001,8.0050001,20.2000001]","[44.0,7.505,1.0]",398.50159265358985,1,C07-PF,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
13,4ce9f7136c179786d5ca38b25cc38bbb0b0c20f2793b6f0ad6d77b61c82223e2,"[-20.3500001,0.9999999,-12.3500001,-11.6499999,8.5250001,-3.6499999]","[-16.0,4.7625,-8.0]",316.78249522472674,1,H1-LIGAMENT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
16,08aae0d8a297bca2ec025add3444f15e135ceebcb8d75545c19d349f053dd54f,"[-20.3500001,0.9999999,3.6499999,-11.6499999,8.5250001,12.3500001]","[-16.0,4.7625,8.0]",316.78249522472674,1,H2-LIGAMENT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
19,268edf5b90ea1b9730aecf36b547589abf7c3a736c280c000fbfd327ee24d4d1,"[11.6499999,0.9999999,-12.3500001,20.3500001,8.5250001,-3.6499999]","[16.0,4.7625,-8.0]",316.78249522472674,1,H3-LIGAMENT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22,8d0ef9c18b3c73f009a17e4ce29cbbffbc4b9c4ae859c00f8e2a0189629ad716,"[11.6499999,0.9999999,3.6499999,20.3500001,8.5250001,12.3500001]","[16.0,4.7625,8.0]",316.78249522472674,1,H4-LIGAMENT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25,c85ce7c04740fe7252087c11e5ddd1718a389c00eac50df2c606636bfaea9d42,"[-5.7500001,3.8999999,-15.7500001,5.7500001,8.5250001,-4.2499999]","[-0.0,6.2125,-10.0]",276.067454434203,1,E1-LIGAMENT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
28,71e2c16f1541e6b3f1249cf86561fbc269039b772bcc0905068a742cf3357aaa,"[-5.7500001,3.8999999,4.2499999,5.7500001,8.5250001,15.7500001]","[-0.0,6.2125,10.0]",276.067454434203,1,E2-LIGAMENT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
29,7b46ef83d4f9603324f7212dd9bcd91db786a2c7e3263572c8f2f0ccc94c4ccb,"[-54.00000015,-15.87500015,-20.00000015,54.00000015,10.23500015,22.00000015]","[-0.353860821,-3.369805415,-0.315551634]",81022.70067694574,0,C07-MATRIX,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30,e547d88800533c733a17884b650c9c10d0861efb6ce9cc704d9117f8114d8a13,"[36.799999788,7.004999788,-20.000000212,39.800000212,8.525000212,-17.199999788]","[38.335450132,7.689419861,-18.597454857]",8.10544381331374,1,C07-PE-SOUTH-WEST-R2,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
31,03da5914ee7553e289806bfa6a2b7b9607bbc2ba03ead87926344dd6259079dd,"[39.799999788,7.004999788,-20.000000212,48.200000212,8.525000212,-18.199999788]","[44.0,7.64767148,-19.193862816]",18.614400000000007,1,C07-PE-SOUTH-STRAIGHT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
32,91292def7370e4016f2de63ed0ae44bde6f61c247e1386e74ae4708db3f47212,"[48.199999788,7.004999788,-20.000000212,51.200000212,8.525000212,-17.199999788]","[49.664549868,7.689419861,-18.597454857]",8.105443813313775,1,C07-PE-SOUTH-EAST-R2,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
33,e813ec52c0f0038159ad1c0546e93124b0696c84097d436be1107afbdf863d96,"[-18.543621771,8.5249999,5.456378229,-13.456378229,10.2350001,10.543621771]","[-16.0,9.112405715,8.0]",8.756378073128584,1,H2-SINGULAR-RIM-BACK,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
34,44ee3d62432738bab12e2597c2539fc9b6f00132ec836e8f7ca21e16ca8e8e02,"[-18.543621771,8.5249999,-10.543621771,-13.456378229,10.2350001,-5.456378229]","[-16.0,9.112405715,-8.0]",8.756378073128584,1,H1-SINGULAR-RIM-BACK,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
35,4d0c8427f74a102bd2c081bf65efaaf4aada98bbda5d0a5bbbf52ac00d354586,"[-4.058970851,8.5249999,5.941029149,4.058970851,10.2350001,14.058970851]","[0.0,9.10719327,10.0]",15.665101153890973,1,E2-SINGULAR-RIM-BACK,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
36,47fc62302f6f2aad144722cf6d245bd4fa8284ae6ea03d6c30c94898b356ef28,"[13.456378229,8.5249999,5.456378229,18.543621771,10.2350001,10.543621771]","[16.0,9.112405715,8.0]",8.756378073128584,1,H4-SINGULAR-RIM-BACK,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
37,7bd59ee9b2bf07c8e4b499c6ed36bd07dd75b8993a5c1529112a7840d81195ac,"[-4.058970851,8.5249999,-14.058970851,4.058970851,10.2350001,-5.941029149]","[0.0,9.10719327,-10.0]",15.665101153890975,1,E1-SINGULAR-RIM-BACK,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
38,514e0342268196af72877d5e68e4b985a945163d2ef910f8e740cd13f8f40f5c,"[13.456378229,8.5249999,-10.543621771,18.543621771,10.2350001,-5.456378229]","[16.0,9.112405715,-8.0]",8.756378073128584,1,H3-SINGULAR-RIM-BACK,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
39,7b2d430c6a748d9e23b012e6465861db7ed6599c18db762c025e68218777c3a4,"[36.7999999,7.0049999,-17.2000001,38.8000001,8.5250001,19.2000001]","[37.696825397,7.661825397,1.0]",91.72799999999994,1,C07-PE-WEST-STRAIGHT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
