screen_id,subject,input_or_rule,result,status,required_evidence,warning
TS-001,Backplate boundary,"18P2117 nominal 431.8 x 533.4 mm; every allocated rectangle must remain within boundary",All P0.3 planning envelopes remain within nominal boundary,ANALYTICAL SCREEN ONLY,"received dimensions; insert and edge keepouts; cover closure test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-002,Top rail width,"SR1/SRA1/KWD1/KWD2/K1/K2 allocations span x=54..308 mm on 323.8 mm rail",254 mm occupied within 323.8 mm nominal allocation,ANALYTICAL SCREEN ONLY,"received widths; end clearance; terminal access; rail end hardware; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-003,PCB planar clearance,"WDPCB1 x=54..214 y=230..330; INJ1 x=224..324 y=230..290",10 mm nominal planar gap,ANALYTICAL SCREEN ONLY,"received board outlines; standoff heads; connector overhang; bend radius; creepage/contamination review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-004,Former P0.1 reserve defect,"P0.1 reserved only 270 x 43 mm for eight unresolved devices; Phoenix 3211861 is 55.9 mm high and Blue Sea 5025 is 84.20 x 124.31 mm",P0.1 reserve cannot contain the proposed devices and is superseded,DEFECT CONFIRMED - P0.1 NOT CURRENT,"configuration history retained; reviewers shall reject P0.1 as current layout",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-005,Protection allocation,"5025 has a 100 x 130 mm provisional service envelope; two 3211861 holders plus one 3030420 end cover have a 25 x 75 mm group envelope; FHAC holder has a 30 x 130 mm service envelope",Catalog bodies fit their P0.3 nominal planar envelopes but access and conductor bends are unproved,ANALYTICAL SCREEN ONLY,"received parts; cover/fuse service; ring-terminal and pigtail bends; holder/end-cover stack; mounting/retention; thermal proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-006,Remaining selection reserve,"x=250..377.8 y=375..515 reserved for JC1 SD1 six fuse links and termination hardware",127.8 x 140 mm remains reserved but not proven sufficient,FAIL-CLOSED HOLD,"exact selected components and terminals; conductor bends; touch protection; service access; revised fit model",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-007,Depth,"enclosure outside depth 257 mm catalog nominal; internal usable depth and door-device stack not established",No depth-fit conclusion,FAIL-CLOSED HOLD,"received enclosure/door/backplate stack; rail/device/PCB/standoff heights; cable bends; closed-cover inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-008,Heat,"loss data and simultaneous duty for contactors relays supplies boards fuse holders terminals and conductors are incomplete",No enclosure temperature-rise conclusion,FAIL-CLOSED HOLD,"manufacturer loss data; ambient; duty; installed wiring; fuse-link dissipation; worst-case powered soak and calibrated temperature survey",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-009,Duct fill,"wire gauges insulation ODs bend radii separation rules and spare capacity are unresolved",No duct-fill conclusion,FAIL-CLOSED HOLD,"released conductor schedule; installed lengths; fill calculation; cover-fit and thermal inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-010,Door controls,"four 22 mm-family devices allocated at x=75/195/315/435 mm y=95 mm",Nominal centers fit the 508 mm catalog-width cover but no usable drilling zone is established,ANALYTICAL SCREEN ONLY,"received cutout templates; rear-body envelopes; cover ribs/inserts/latches; wrench access; flex; ergonomic review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-011,Enclosure rating,"PJ series component ratings do not prove the completed drilled assembly rating",No completed-assembly Type/IP claim,FAIL-CLOSED HOLD,"selected listed cable entries/operators; installation per instructions; inspection and qualified enclosure-system disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-012,Bonding,"fiberglass shell contains a steel backplate DIN rails and interfaces to machine frame/shields",No PE/DC0V/bonding closure,FAIL-CLOSED HOLD,"qualified fault-path and bonding design; exact hardware; coating preparation; torque; calibrated continuity/impedance evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
