connector,rail,contact,net,physical_family,mapping_state,warning
JI1,COMPUTE,1,COMPUTE_12V_RAW,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI1,COMPUTE,2,ACT_0V_CONTROLLED,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI1,COMPUTE,3,COMPUTE_DISABLE_N,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO1,COMPUTE,1,COMPUTE_5V1,B2P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO1,COMPUTE,2,AUX_0V_STAR,B2P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI2,HMI,1,HMI_12V_RAW,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI2,HMI,2,ACT_0V_CONTROLLED,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI2,HMI,3,HMI_DISABLE_N,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO2,HMI,1,HMI_5V0,B2P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO2,HMI,2,AUX_0V_STAR,B2P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI3,CONTROL,1,CONTROL_12V_RAW,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI3,CONTROL,2,ACT_0V_CONTROLLED,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JI3,CONTROL,3,CONTROL_DISABLE_N,B3P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO3,CONTROL,1,AUX_5V_SAFE,B2P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JO3,CONTROL,2,AUX_0V_STAR,B2P-VH-B,PROJECT-OWNED CANDIDATE - HARNESS/DERATING/KEYING OPEN,"PRELIMINARY - UNBUILT AUXILIARY-POWER MODULE CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
