route_id,link_id,route_description,minimum_bend_radius,retention_and_service_rule,neck_worst_pose_checked,interference_checked,execution_state,authority,warning
HH-R01,HH-L01,torso compute tray -> left neck service channel -> left upper bezel,45 mm minimum candidate; exact FFC supplier limit open,two broad-radius clamps; no fold at connector,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R02,HH-L02,torso compute tray -> right neck service channel -> right upper bezel,45 mm minimum candidate; exact FFC supplier limit open,two broad-radius clamps; no fold at connector,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R03,HH-L03,torso compute tray -> segregated neck signal channel -> rear face display,30 mm candidate,connector shell retention at both ends,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R04,HH-L04,head power trunk -> display rear,10 x cable OD candidate,service disconnect before bezel removal,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R05,HH-L05,torso GPIO breakout -> segregated neck signal channel -> display touch header,10 x cable OD candidate,keyed remote adapter; direct stacking prohibited,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R06,HH-L06,torso compute tray -> neck data channel -> rear head audio tray,10 x cable OD candidate,locking head end; retained Pi end,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R07,HH-L07,head auxiliary power trunk -> rear head audio tray,10 x cable OD candidate,separate from microphone FPC,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R08,HH-L08,rear head audio tray -> side-return loop -> lower face microphone array,20 mm candidate; manufacturer FPC limit not published,no sharp fold; isolated from speaker baffles,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R09,HH-L09,rear head audio tray -> left acoustic baffle,10 x cable OD candidate,strain relief before removable side cover,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R10,HH-L10,rear head audio tray -> right acoustic baffle,10 x cable OD candidate,strain relief before removable side cover,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HH-R11,HH-L11,head power trunk -> rear vent frame,10 x cable OD candidate,guarded away from blades; service plug before fan frame,NO,NO,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT HEAD HMI HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
