axis_id,drive_id,motor_adapter,horn,motor_pulley,output_adapter,output_pulley,nominal_allocation_complete,fit_capacity_physical_validation,warning
L_HIP_PITCH,LD-15,MA-HN13-P10,HN13-N101,GPA20GT5090-A-P10,OS-P12-45,GPA30GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_HIP_PITCH,LD-15,MA-HN13-P10,HN13-N101,GPA20GT5090-A-P10,OS-P12-45,GPA30GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_HIP_ROLL,LD-20,MA-HN13-P10,HN13-N101,GPA20GT5090-A-P10,OS-P12-55,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_HIP_ROLL,LD-20,MA-HN13-P10,HN13-N101,GPA20GT5090-A-P10,OS-P12-55,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_KNEE_PITCH,LD-20,MA-HN13-P10,HN13-N101,GPA20GT5090-A-P10,OS-P12-45,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_KNEE_PITCH,LD-20,MA-HN13-P10,HN13-N101,GPA20GT5090-A-P10,OS-P12-45,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_ROLL,LD-20,MA-HN12-P10,HN12-N101,GPA20GT5090-A-P10,OS-P12-55,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_ANKLE_ROLL,LD-20,MA-HN12-P10,HN12-N101,GPA20GT5090-A-P10,OS-P12-55,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ANKLE_PITCH,LD-25,MA-HN12-P8,HN12-N101,GPA16GT5090-A-P8,OS-P12-45,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_ANKLE_PITCH,LD-25,MA-HN12-P8,HN12-N101,GPA16GT5090-A-P8,OS-P12-45,GPA40GT5090-A-P12,True,OPEN,"PRELIMINARY - DIMENSIONED ADAPTER GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
