hold_id,hold,state,evidence,warning
R242-H01,Qualified Boston/US code and project color-identification disposition including XD24 red and XD0 blue blocks,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H02,"Exact termination method, ferrules if used, manufacturer-compatible crimp tool/die, strip lengths, torque and pull criteria",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H03,Received-lot Belden identity and four-wire DCR measurement at recorded temperature with calibrated equipment,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H04,"Received-panel terminal-entry geometry, 23 mm stationary bend-radius proof, service allowance and released seven-wire cut schedule",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H05,"F24 selection and coordination using measured/site fault current, clearing curve, conductor/terminal limits and jurisdiction",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H06,"Complete segment-by-segment WD2 occupant register including ordinary diagnostics, labels, ties, partitions and covers",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H07,"Ambient, bundling, duty-cycle, enclosure heat and conductor-temperature calculation plus measured validation",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H08,"WD5/WD2 junction, bar removal, edge treatment, cover access, clips and bend geometry",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H09,"Continuity, polarity, pull, isolation, route, cover and photographic as-built evidence",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H10,Formal P1.21 acceptance and configuration-controlled point-to-point schedule update,OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H11,"Qualified electrical and functional-safety review; no safety credit from color, duct or ordinary relay routing",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R242-H12,"Signed work authorization after all applicable procurement, assembly, connection and E2 gates are independently satisfied",OPEN,SELECTION REQUIRED / NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
