acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
R274-ACC-01,Current same-session supplier quote/cart confirms every exact order code and quantity,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-02,Manufacturer/lot identity and required certificates are received and accepted,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-03,Screw length and nut-height tolerances plus received measurements close thread projection,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-04,"S102 thickness, material, thread condition and structural allowables are accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-05,"Nut proof, prevailing-torque distribution and mixed Class 12.9/Class 8 compatibility are accepted",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-06,Torque-preload trials define an accepted dry installation torque and clamp-force window,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-07,"Joined analysis closes slip, separation, prying, sheet flexibility, bearing and thread/head/nut/washer modes",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-08,"Straight blade, access well, socket engagement, seating and XM540 clearance pass physical FAI",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-09,"Single-use nut, witness-mark, calibration, corrosion, temperature and inspection controls are released",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-10,Unpowered single-rail and twin-rail proof tests pass qualified limits,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-11,Configuration-bound qualified mechanical acceptance is signed,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R274-ACC-12,"Separate procurement, assembly and any later powered-work authorities are signed",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
