fastener_id,joint_id,candidate,quantity,torque_nm,released,warning
F-J-MF-BFL-X-01,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-02,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-03,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-04,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-05,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-06,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-07,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-X-08,J-MF-BFL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-01,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-02,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
