record_id,article_scope,required_observation,result,evidence_uri,disposition,warning
LAR-001,shipment,sealed package and packing-list identity before opening,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-002,two actuator cartons,SKU 902-0137-000 and exact XM540-W270-T labels; any -R is quarantined,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-003,two actuators,"serial, hardware revision, case/connector condition and individual photographs",NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-004,two actuator kits,"page-listed horns, three cable types, fasteners and spacer rings inventoried separately",NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-005,two H101 cartons,SKU 903-0270-300 and exact kit labels,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-006,two H101 kits,"hinge frame, idler set, all fastener quantities and ten spacer rings per kit",NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-007,two S102 cartons,SKU 903-0269-300 and exact kit labels,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-008,two S102 kits,"side frame, all fastener quantities and ten spacer rings per kit",NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-009,all six articles,mass recorded without accepting commerce shipping weight as article mass,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-010,all loose hardware,kept segregated by serialized article allocation; no thread engagement,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-011,discrepancies,quarantine and nonconformance record; no substitution acceptance,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LAR-012,lot close,hash-bound evidence index and qualified receiving disposition,NOT_EXECUTED,NOT_EXECUTED,NOT_ACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
