batch_id,module,part_count,parts,slicer_plate_count,orientation,supports,built,warning
FC-B01,H01,2,H01_HEAD_FRONT_BEZEL;H01_HEAD_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B02,N01,1,N01_NECK_TUBE,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B03,T01,5,T01_TORSO_RAIL_R;T01_TORSO_RAIL_L;T01_SHOULDER_CROSS_TUBE;T01_TORSO_FRONT_COVER;T01_TORSO_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B04,P01,6,P01_PELVIS_PLATE_FRONT;P01_PELVIS_PLATE_REAR;P01_WAIST_BRIDGE;P01_RESTRAINT_BRIDGE;P01_PELVIS_FRONT_COVER;P01_PELVIS_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B05,A01,8,A01_UPPER_ARM_LINK_FRONT;A01_FOREARM_LINK_FRONT;A01_UPPER_ARM_LINK_REAR;A01_FOREARM_LINK_REAR;A01_UPPER_ARM_FRONT_COVER;A01_UPPER_ARM_REAR_COVER;A01_FOREARM_FRONT_COVER;A01_FOREARM_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B06,G01,17,G01_PALM_FRONT_PLATE;G01_PALM_REAR_PLATE;G01_PALM_TOP_BRIDGE;G01_PALM_BOTTOM_BRIDGE;G01_WRIST_MOUNT_PLATE;G01_GUIDE_ROD_FRONT;G01_GUIDE_ROD_REAR;G01_PINION;G01_RACK_POSITIVE;G01_RACK_NEGATIVE;G01_FINGER_POSITIVE;G01_FINGER_NEGATIVE;G01_PAD_POSITIVE;G01_PAD_NEGATIVE;G01_STOP_POSITIVE;G01_STOP_NEGATIVE;G01_MANUAL_RELEASE_HUB,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B07,A02,8,A02_UPPER_ARM_LINK_FRONT;A02_FOREARM_LINK_FRONT;A02_UPPER_ARM_LINK_REAR;A02_FOREARM_LINK_REAR;A02_UPPER_ARM_FRONT_COVER;A02_UPPER_ARM_REAR_COVER;A02_FOREARM_FRONT_COVER;A02_FOREARM_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B08,G02,17,G02_PALM_FRONT_PLATE;G02_PALM_REAR_PLATE;G02_PALM_TOP_BRIDGE;G02_PALM_BOTTOM_BRIDGE;G02_WRIST_MOUNT_PLATE;G02_GUIDE_ROD_FRONT;G02_GUIDE_ROD_REAR;G02_PINION;G02_RACK_POSITIVE;G02_RACK_NEGATIVE;G02_FINGER_POSITIVE;G02_FINGER_NEGATIVE;G02_PAD_POSITIVE;G02_PAD_NEGATIVE;G02_STOP_POSITIVE;G02_STOP_NEGATIVE;G02_MANUAL_RELEASE_HUB,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B09,L01,14,L01_SHIN_SIDE_FRONT;L01_THIGH_SIDE_FRONT;L01_SHIN_SIDE_REAR;L01_THIGH_SIDE_REAR;L01_SHIN_TIE_Z72;L01_SHIN_TIE_Z135;L01_SHIN_TIE_Z183;L01_THIGH_TIE_Z235;L01_THIGH_TIE_Z300;L01_THIGH_TIE_Z355;L01_SHIN_FRONT_COVER;L01_SHIN_REAR_COVER;L01_THIGH_FRONT_COVER;L01_THIGH_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B10,F01,3,F01_SOLE_CARRIER;F01_TOP_BRIDGE;F01_TOP_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B11,L02,14,L02_SHIN_SIDE_FRONT;L02_THIGH_SIDE_FRONT;L02_SHIN_SIDE_REAR;L02_THIGH_SIDE_REAR;L02_SHIN_TIE_Z72;L02_SHIN_TIE_Z135;L02_SHIN_TIE_Z183;L02_THIGH_TIE_Z235;L02_THIGH_TIE_Z300;L02_THIGH_TIE_Z355;L02_SHIN_FRONT_COVER;L02_SHIN_REAR_COVER;L02_THIGH_FRONT_COVER;L02_THIGH_REAR_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-B12,F02,3,F02_SOLE_CARRIER;F02_TOP_BRIDGE;F02_TOP_COVER,SELECTION REQUIRED - printer envelope and orientation,SELECTION REQUIRED PER PART,SELECTION REQUIRED PER PART,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
