sheet,reference,value,quantity,status,datasheet,evidence
01_energy_precharge_conversion.kicad_sch,BATT1,4S 14.8 V 12 Ah PACK EVALUATION CANDIDATE - COMPLETE SOURCE SELECTION OPEN,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
01_energy_precharge_conversion.kicad_sch,SD1,DC SERVICE DISCONNECT - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
01_energy_precharge_conversion.kicad_sch,PRE1,PRECHARGE / DISCHARGE NETWORK - DESIGN REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
01_energy_precharge_conversion.kicad_sch,DCDC1,INTERRUPTED 14.8 V TO 12 V CONVERTER - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
01_energy_precharge_conversion.kicad_sch,CHG1,CHARGER PORT / INTERLOCK - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
01_energy_precharge_conversion.kicad_sch,RET1,DC RETURN / FRAME / PE BOUNDARY - DESIGN REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
02_estop_permit_contactors.kicad_sch,S0,DUAL-CHANNEL E-STOP DEVICE - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
02_estop_permit_contactors.kicad_sch,S1,MONITORED MANUAL RESET DEVICE - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
02_estop_permit_contactors.kicad_sch,SR1,SAFETY CONTROL / EDM FUNCTION - APPLICATION SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
02_estop_permit_contactors.kicad_sch,K1,DC CONTACTOR 1 WITH MIRROR CONTACT - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
02_estop_permit_contactors.kicad_sch,K2,DC CONTACTOR 2 WITH MIRROR CONTACT - SELECTION REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
03_compute_motion_watchdog.kicad_sch,CPU1,RASPBERRY PI 5 CONVERSATIONAL COMPUTE CANDIDATE,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,https://www.raspberrypi.com/products/raspberry-pi-5/,
03_compute_motion_watchdog.kicad_sch,MCU1,STM32H743ZIT6 LQFP144 MOTION-CONTROL CARRIER CANDIDATE,1,EXACT MCU ORDER-CODE CANDIDATE - BOARD DESIGN AND VALIDATION REQUIRED,https://www.st.com/resource/en/datasheet/stm32h742bg.pdf,ST DS12110 Rev 11 and current product page checked 2026-08-14; STM32H743ZIT6 is active/in volume production. Eight UART TX/RX/DE pin candidates are recorded on this sheet and interface-carrier-pinout.csv.
03_compute_motion_watchdog.kicad_sch,WD1,INDEPENDENT ORDINARY WATCHDOG - SELECTION REQUIRED / ZERO SAFETY CREDIT,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
04_motion_controller_carrier_connectors.kicad_sch,REG1,CONTROL 5 V TO 3.3 V REGULATOR - DESIGN REQUIRED,1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,,
04_motion_controller_carrier_connectors.kicad_sch,JMCU_A,JST BM15B-GHS-TBT - CARRIER A CONTROLLER HEADER,1,EXACT CONNECTOR FAMILY/ORDER-CODE CANDIDATE - HARNESS AND PCB VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,"JST GH official product page and eGH catalog checked 2026-08-14: 1.25 mm secure-lock, 15-circuit header/housing family, 1 A at AWG26 family rating."
04_motion_controller_carrier_connectors.kicad_sch,JMCU_B,JST BM15B-GHS-TBT - CARRIER B CONTROLLER HEADER,1,EXACT CONNECTOR FAMILY/ORDER-CODE CANDIDATE - HARNESS AND PCB VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST GH official product page and eGH catalog checked 2026-08-14.
05_carrier_a_four_isolated_rs485.kicad_sch,JCA1,JST GHR-15V-S CARRIER A CABLE RECEPTACLE,1,EXACT CONNECTOR CANDIDATE - CABLE ASSEMBLY VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST GH official product page/eGH catalog checked 2026-08-14.
05_carrier_a_four_isolated_rs485.kicad_sch,ISO_RS_LLEG,TI ISOW1432DFMR 12 Mbps ISOLATED RS-485 - RS-LLEG,1,EXACT TRANSCEIVER ORDER-CODE CANDIDATE - APPLICATION CIRCUIT/LAYOUT/TEST REQUIRED,https://www.ti.com/lit/ds/symlink/isow1432.pdf,"TI ISOW1412/ISOW1432 datasheet SLLSF86C Rev C, March 2022, checked 2026-08-14; ISOW1432DFMR is active, 12 Mbps, 20-pin DFM wide SOIC."
05_carrier_a_four_isolated_rs485.kicad_sch,J_RS_LLEG,JST BM03B-GHS-TBT DATA-ONLY FIELD HEADER,1,EXACT DATA-ONLY CONNECTOR CANDIDATE - HARNESS/EMC VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST GH official eGH catalog checked 2026-08-14.
05_carrier_a_four_isolated_rs485.kicad_sch,ISO_RS_RLEG,TI ISOW1432DFMR 12 Mbps ISOLATED RS-485 - RS-RLEG,1,EXACT TRANSCEIVER ORDER-CODE CANDIDATE - APPLICATION CIRCUIT/LAYOUT/TEST REQUIRED,https://www.ti.com/lit/ds/symlink/isow1432.pdf,"TI ISOW1412/ISOW1432 datasheet SLLSF86C Rev C, March 2022, checked 2026-08-14; ISOW1432DFMR is active, 12 Mbps, 20-pin DFM wide SOIC."
05_carrier_a_four_isolated_rs485.kicad_sch,J_RS_RLEG,JST BM03B-GHS-TBT DATA-ONLY FIELD HEADER,1,EXACT DATA-ONLY CONNECTOR CANDIDATE - HARNESS/EMC VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST GH official eGH catalog checked 2026-08-14.
05_carrier_a_four_isolated_rs485.kicad_sch,ISO_RS_LARM,TI ISOW1432DFMR 12 Mbps ISOLATED RS-485 - RS-LARM,1,EXACT TRANSCEIVER ORDER-CODE CANDIDATE - APPLICATION CIRCUIT/LAYOUT/TEST REQUIRED,https://www.ti.com/lit/ds/symlink/isow1432.pdf,"TI ISOW1412/ISOW1432 datasheet SLLSF86C Rev C, March 2022, checked 2026-08-14; ISOW1432DFMR is active, 12 Mbps, 20-pin DFM wide SOIC."
05_carrier_a_four_isolated_rs485.kicad_sch,J_RS_LARM,JST BM03B-GHS-TBT DATA-ONLY FIELD HEADER,1,EXACT DATA-ONLY CONNECTOR CANDIDATE - HARNESS/EMC VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST GH official eGH catalog checked 2026-08-14.
05_carrier_a_four_isolated_rs485.kicad_sch,ISO_RS_RARM,TI ISOW1432DFMR 12 Mbps ISOLATED RS-485 - RS-RARM,1,EXACT TRANSCEIVER ORDER-CODE CANDIDATE - APPLICATION CIRCUIT/LAYOUT/TEST REQUIRED,https://www.ti.com/lit/ds/symlink/isow1432.pdf,"TI ISOW1412/ISOW1432 datasheet SLLSF86C Rev C, March 2022, checked 2026-08-14; ISOW1432DFMR is active, 12 Mbps, 20-pin DFM wide SOIC."
05_carrier_a_four_isolated_rs485.kicad_sch,J_RS_RARM,JST BM03B-GHS-TBT DATA-ONLY FIELD HEADER,1,EXACT DATA-ONLY CONNECTOR CANDIDATE - HARNESS/EMC VALIDATION REQUIRED,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,JST GH official eGH catalog checked 2026-08-14.
