wire_number,sheet,reference,terminal,pin_name,net
W1001,01_energy_precharge_conversion.kicad_sch,ACB1,LOG-L,FACILITY LINE,FACILITY_AC_L
W1002,01_energy_precharge_conversion.kicad_sch,ACB1,LOG-N,FACILITY NEUTRAL,FACILITY_AC_N
W1003,01_energy_precharge_conversion.kicad_sch,ACB1,LOG-PE,FACILITY PROTECTIVE EARTH,PANEL_PE
W1004,01_energy_precharge_conversion.kicad_sch,PS1,LOG-L,AC LINE FUNCTION,FACILITY_AC_L
W1005,01_energy_precharge_conversion.kicad_sch,PS1,LOG-N,AC NEUTRAL FUNCTION,FACILITY_AC_N
W1006,01_energy_precharge_conversion.kicad_sch,PS1,LOG-PE,PROTECTIVE EARTH FUNCTION,PANEL_PE
W1007,01_energy_precharge_conversion.kicad_sch,PS1,LOG-VPOS,12 V PANEL OUTPUT,PANEL_DC_POS_RAW
W1008,01_energy_precharge_conversion.kicad_sch,PS1,LOG-VNEG,PANEL DC RETURN,PANEL_DC_RET
W1009,01_energy_precharge_conversion.kicad_sch,CTRLPS1,LOG-IN,PANEL DC POSITIVE,PANEL_DC_POS_RAW
W1010,01_energy_precharge_conversion.kicad_sch,CTRLPS1,LOG-RET-IN,PANEL DC RETURN,PANEL_DC_RET
W1011,01_energy_precharge_conversion.kicad_sch,CTRLPS1,LOG-OUT,24 V SAFETY CONTROL,SAFETY_24V
W1012,01_energy_precharge_conversion.kicad_sch,CTRLPS1,LOG-RET-OUT,SAFETY CONTROL RETURN,SAFETY_0V
W1013,01_energy_precharge_conversion.kicad_sch,TETH1,LOG-PANEL-P,CONTACTOR-SWITCHED PANEL POSITIVE,TETHER_MAIN_POS
W1014,01_energy_precharge_conversion.kicad_sch,TETH1,LOG-PANEL-N,PANEL DC RETURN,PANEL_DC_RET
W1015,01_energy_precharge_conversion.kicad_sch,TETH1,LOG-PANEL-PE,PANEL PE,PANEL_PE
W1016,01_energy_precharge_conversion.kicad_sch,TETH1,LOG-ROBOT-P,ROBOT CONTROLLED MAIN,ACT_MAIN_SAFE_12V
W1017,01_energy_precharge_conversion.kicad_sch,TETH1,LOG-ROBOT-N,ROBOT CONTROLLED RETURN,ACT_0V_CONTROLLED
W1018,01_energy_precharge_conversion.kicad_sch,REG_TTL_L,LOG-IN,CONTROLLED 12 V INPUT,ACT_MAIN_SAFE_12V
W1019,01_energy_precharge_conversion.kicad_sch,REG_TTL_L,LOG-RET-IN,CONTROLLED RETURN,ACT_0V_CONTROLLED
W1020,01_energy_precharge_conversion.kicad_sch,REG_TTL_L,LOG-OUT,LEFT DISTAL 9 V,TTL_LDIST_SAFE_9V
W1021,01_energy_precharge_conversion.kicad_sch,REG_TTL_L,LOG-RET-OUT,RETURN,ACT_0V_CONTROLLED
W1022,01_energy_precharge_conversion.kicad_sch,REG_TTL_R,LOG-IN,CONTROLLED 12 V INPUT,ACT_MAIN_SAFE_12V
W1023,01_energy_precharge_conversion.kicad_sch,REG_TTL_R,LOG-RET-IN,CONTROLLED RETURN,ACT_0V_CONTROLLED
W1024,01_energy_precharge_conversion.kicad_sch,REG_TTL_R,LOG-OUT,RIGHT DISTAL 9 V,TTL_RDIST_SAFE_9V
W1025,01_energy_precharge_conversion.kicad_sch,REG_TTL_R,LOG-RET-OUT,RETURN,ACT_0V_CONTROLLED
W1026,01_energy_precharge_conversion.kicad_sch,REG_TTL_H,LOG-IN,CONTROLLED 12 V INPUT,ACT_MAIN_SAFE_12V
W1027,01_energy_precharge_conversion.kicad_sch,REG_TTL_H,LOG-RET-IN,CONTROLLED RETURN,ACT_0V_CONTROLLED
W1028,01_energy_precharge_conversion.kicad_sch,REG_TTL_H,LOG-OUT,HEAD ACTUATOR 9 V,TTL_HEAD_SAFE_9V
W1029,01_energy_precharge_conversion.kicad_sch,REG_TTL_H,LOG-RET-OUT,RETURN,ACT_0V_CONTROLLED
W2001,02_estop_permit_contactors.kicad_sch,S0,LOG-C1F,CHANNEL 1 FEED,ESTOP_CH1_FEED
W2002,02_estop_permit_contactors.kicad_sch,S0,LOG-C2F,CHANNEL 2 FEED,ESTOP_CH2_FEED
W2003,02_estop_permit_contactors.kicad_sch,S0,LOG-C1R,CHANNEL 1 RETURN,ESTOP_CH1_RETURN
W2004,02_estop_permit_contactors.kicad_sch,S0,LOG-C2R,CHANNEL 2 RETURN,ESTOP_CH2_RETURN
W2005,02_estop_permit_contactors.kicad_sch,S1,LOG-FEED,RESET FEED,RESET_FEED
W2006,02_estop_permit_contactors.kicad_sch,S1,LOG-RETURN,RESET RETURN,RESET_RETURN
W2007,02_estop_permit_contactors.kicad_sch,SR1,LOG-C1R,E-STOP CH1 RETURN,ESTOP_CH1_RETURN
W2008,02_estop_permit_contactors.kicad_sch,SR1,LOG-C2R,E-STOP CH2 RETURN,ESTOP_CH2_RETURN
W2009,02_estop_permit_contactors.kicad_sch,SR1,LOG-RR,RESET / EDM RETURN,RESET_RETURN
W2010,02_estop_permit_contactors.kicad_sch,SR1,LOG-24V,24 V CONTROL,SAFETY_24V
W2011,02_estop_permit_contactors.kicad_sch,SR1,LOG-0V,CONTROL RETURN,SAFETY_0V
W2012,02_estop_permit_contactors.kicad_sch,SR1,LOG-EDM1,K1 LINKED AUXILIARY RETURN,EDM_K1_AUX
