source_id,manufacturer,document,revision_or_date,accessed,url,verified
STM32H743ZI,STMicroelectronics,STM32H742xI/G and STM32H743xI/G datasheet,DS12110 Rev 11,2026-08-14,https://www.st.com/resource/en/datasheet/stm32h742bg.pdf,STM32H743ZIT6 active LQFP144; eight UART/USART peripherals; selected TX/RX/RTS-DE package pins and alternate functions
ISOW1432,Texas Instruments,ISOW1412/ISOW1432 datasheet,SLLSF86C Rev C; March 2022,2026-08-14,https://www.ti.com/lit/ds/symlink/isow1432.pdf,ISOW1432DFMR active; 20-pin DFM; exact pins 1-20; 12 Mbps; integrated isolated DC/DC; half-duplex Y/Z and A/B binding
SN74LVC1T45,Texas Instruments,SN74LVC1T45 datasheet,SCES515N Rev N; June 2024,2026-08-14,https://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf,SN74LVC1T45DCKR active; exact six-pin DCK mapping; 1.65-5.5 V dual rails; DIR high A-to-B
JST-GH,JST,GH connector catalog,live official catalog; revision not stated,2026-08-14,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf,GHR-15V-S/BM15B-GHS-TBT/SSHL-002T-P0.2 logic-only controller cable family
JST-PA,JST,PA connector family catalog,live official catalog; revision not stated,2026-08-18,https://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf,B02B-PASK-1/B03B-PASK-1 through-hole secure-lock field headers; PAP-02V-S/PAP-03V-S housings; SPHD-001T-P0.5 0.13-0.33 mm2 and SPHD-002T-P0.5 0.08-0.21 mm2 contacts
OPENCR-REF,ROBOTIS,OpenCR Rev H schematic and BOM,Rev H; schematic dated 2020-02-26; official repository checked 2026-08-14,2026-08-14,https://github.com/ROBOTIS-GIT/OpenCR-Hardware,manufacturer reference confirms separate UART TX/RX/DIR half-duplex topology and DYNAMIXEL TTL/RS-485 connector conventions; HR-30 uses newer selected devices
RSP-500-12,Mean Well,RSP-500 series specification,official datasheet; revision not stated,2026-08-14,https://www.meanwell.com/Upload/PDF/RSP-500/RSP-500-SPEC.PDF,12 V / 41.7 A / 500.4 W tether-supply candidate; exact panel terminals and application remain open
SD-15A-24,Mean Well,SD-15 series specification,official datasheet; revision not stated,2026-08-14,https://www.meanwell.com/Upload/PDF/SD-15/SD-15-SPEC.PDF,9.2-18 V input to 24 V / 0.625 A safety-control supply candidate
PNOZ-S4-750104,Pilz,PNOZ s4 operating manual,21396-EN-23; 2026-06-22,2026-08-14,https://www.pilz.com/en-US/eshop/product/750104,24 VDC safety-relay candidate; monitored manual start and EDM application concepts; exact circuit and validation open
GV12,Sensata GIGAVAC,GV12 series datasheet,2022-04-28,2026-08-14,https://www.sensata.com/sites/default/files/a/sensata-gigavac-gv12-series-100v-contactors-datasheet.pdf,100 V / 200 A family candidate with optional mechanically linked auxiliary; no IEC mirror-contact claim
S18V20F9,Pololu,9 V step-up/step-down regulator item 2576,live official product page; revision not stated,2026-08-14,https://www.pololu.com/product/2576,9 V regulator candidate for each two-axis XC330 branch; current/thermal/transient proof open
