input_id,group,parameter,value,unit,evidence_class,primary_or_project_source,status,required_before_supplier_query,closure_evidence,warning
KAI-001,identity,manufacturer and order code,Schneider Electric LC1D25BD,,PRIMARY_SOURCE,Schneider live product record,SOURCE_CONTROLLED_CANDIDATE,no,Received labels and order documentation,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-002,architecture,quantity,2,devices,PROJECT_CONFIGURATION,Electrical V3-P1.13,SOURCE_CONTROLLED_CANDIDATE,no,Received count and configuration inspection,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-003,architecture,main-pole topology,"three poles in series within K1 then three poles in series within K2",,PROJECT_CONFIGURATION,Electrical V3-P1.13,SOURCE_CONTROLLED_CANDIDATE,no,Point-to-point inspection against released wiring,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-004,coil,coil nominal voltage,24,VDC,PRIMARY_SOURCE,SQD-LC1D25BD.PDF,SOURCE_CONTROLLED_CANDIDATE,no,Received identity and measured polarity/voltage,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-005,coil,coil power at 20 C,5.4,W,PRIMARY_SOURCE,SQD-LC1D25BD.PDF,SOURCE_CONTROLLED_CANDIDATE,no,Measured pickup/hold current and thermal evidence,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-006,coil,coil arithmetic current at 24 V,0.225,A,DERIVED_SCREEN,5.4 W divided by 24 V,ANALYTICAL_SCREEN_ONLY,no,Measured coil current across supply and temperature limits,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-007,timing,published opening time,"16..24",ms,PRIMARY_SOURCE,SQD-LC1D25BD.PDF,SOURCE_CONTROLLED_CANDIDATE,no,Received coil/contact timing traces under released conditions,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-008,timing,published closing time,"53.55..72.45",ms,PRIMARY_SOURCE,SQD-LC1D25BD.PDF,SOURCE_CONTROLLED_CANDIDATE,no,Received coil/contact timing traces under released conditions,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-009,edm,NC auxiliary relationship,"mirror contact to IEC 60947-4-1; mechanically linked 1NO+1NC to IEC 60947-5-1",,PRIMARY_SOURCE,SQD-LC1D25BD.PDF and FA126437,SOURCE_CONTROLLED_CANDIDATE,no,Received terminal/continuity and welded-main-contact behavior,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-010,edm,minimum signalling switching current,5,mA,PRIMARY_SOURCE,SQD-LC1D25BD.PDF,SOURCE_CONTROLLED_CANDIDATE,no,Measured current in SRA1 start/EDM loop,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-011,edm,minimum signalling switching voltage,17,V,PRIMARY_SOURCE,SQD-LC1D25BD.PDF,SOURCE_CONTROLLED_CANDIDATE,no,Measured voltage in SRA1 start/EDM loop,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-012,edm,PNOZ start/feedback input current candidate,50,mA,PRIMARY_SOURCE,Pilz manual 21396-EN-23 page 22,SOURCE_CONTROLLED_CANDIDATE,no,Received-loop current measurement and qualified application acceptance,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-013,edm,nominal current margin screen,10,ratio,DERIVED_SCREEN,50 mA divided by 5 mA,ANALYTICAL_SCREEN_ONLY,no,Physical current/voltage evidence under tolerance and faults,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-014,power_path,actuator source candidate,"Mean Well GST280A12-C6P; 12 V; 21 A nameplate",,PRIMARY_SOURCE,Electrical V3-P1.13,SOURCE_CONTROLLED_CANDIDATE,no,Received source and application evidence,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-015,power_path,historical summed actuator stall endpoint screen,11.1,A,CATALOG_ENDPOINT_SCREEN,4.4 + 4.4 + 2.3 A published actuator endpoints,ANALYTICAL_SCREEN_ONLY,no,External measured branch and K1/K2 current envelopes,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-016,application,normal contact current,SELECTION REQUIRED,A,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Raw synchronized current/voltage traces in exact configuration,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-017,application,peak forward contact current,SELECTION REQUIRED,A,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Raw synchronized current/voltage traces in exact configuration,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-018,application,current at commanded and E-stop opening,SELECTION REQUIRED,A,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Opening-triggered current traces with uncertainty,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-019,application,reverse or regenerative current,SELECTION REQUIRED,A,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Bidirectional current traces through deceleration and opening,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-020,application,contact voltage during opening,SELECTION REQUIRED,V,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Differential voltage trace across each contactor and pole chain,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
