hold_id,topic,evidence_required,state,owner_candidate,warning
LOG-H001,target monotonic clock identity/resolution,target OS/kernel/hardware clock selection and measurement,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H002,monotonic drift and jitter,calibrated worst-load target trace,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H003,UTC source and uncertainty,approved isolated-network time policy and measured offset,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H004,100 Hz runtime cycle,selected <=10 ms period plus target scheduling/WCET evidence,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H005,configuration identities and hashes,"accepted exact release, ECAD, CAD, BOM, firmware and manifest hashes",OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H006,calibration set,"serialized instruments, current calibration evidence and accepted uncertainty budget",OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H007,test procedure identity,accepted configuration-specific procedure and SHA-256,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H008,storage sizing and reserve,"measured record rate, duration, maximum file and minimum-free-space selection",OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H009,rotation and retention,"approved ownership, mode, rotation, export and retention policy",OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H010,abrupt-loss/corruption policy,executed cut-power matrix and accepted recovery disposition,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H011,content/rate verification,executed LOG-T001 through LOG-T015 with raw artifacts,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H012,cross-instrument synchronization,shared-event trace and accepted offset uncertainty,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H013,target integration/HIL,installed image hashes and target HIL evidence,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H014,qualified review,"signed controls, test and configuration review",OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LOG-H015,work authorization,separate configuration-specific written authorization,OPEN,SELECTION REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
