sequence_id,bus_id,axis_count,axes,sample_count,peak_current_equivalent_a,p95_current_equivalent_a,rms_current_equivalent_a,mean_current_equivalent_a,candidate_internal_cap_sum_a,active_grip_included,released_normal_demand,thermal_rating_credit,warning
WS-L01,RS-LARM,3,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL,537,0.337666449,0.328978116,0.211895994,0.194441743,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-LARM,3,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL,537,0.262259484,0.249516069,0.162151846,0.154761519,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-LARM,3,L_ELBOW_PITCH; L_SHOULDER_PITCH; L_SHOULDER_ROLL,1074,0.337666449,0.320182609,0.188670525,0.174601631,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-LLEG,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,537,7.032228655,5.610806410,3.418877980,2.673231491,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-LLEG,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,537,6.037820172,5.947407620,4.905827136,4.751708119,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-LLEG,6,L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH,1074,7.032228655,5.939061253,4.228230512,3.712469805,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-RARM,3,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL,537,0.256372157,0.243605366,0.156312055,0.148604009,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-RARM,3,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL,537,0.331533313,0.322846772,0.206292429,0.188286026,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-RARM,3,R_ELBOW_PITCH; R_SHOULDER_PITCH; R_SHOULDER_ROLL,1074,0.331533313,0.314067584,0.183016427,0.168445018,5.996010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-RLEG,6,R_ANKLE_PITCH; R_ANKLE_ROLL; R_HIP_PITCH; R_HIP_ROLL; R_HIP_YAW; R_KNEE_PITCH,537,6.041117154,5.950614689,4.908628305,4.754446971,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
