carrier,axis,hole,board_x_mm,board_y_mm,panel_center_x_mm,panel_center_y_mm,pcb_hole,panel_hole,state,warning
LIM1,J1 shoulder,MH1,5.0,5.0,493.0,305.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM1,J1 shoulder,MH2,95.0,5.0,493.0,395.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM1,J1 shoulder,MH3,5.0,55.0,443.0,305.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM1,J1 shoulder,MH4,95.0,55.0,443.0,395.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM2,J2 elbow,MH1,5.0,5.0,493.0,415.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM2,J2 elbow,MH2,95.0,5.0,493.0,505.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM2,J2 elbow,MH3,5.0,55.0,443.0,415.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM2,J2 elbow,MH4,95.0,55.0,443.0,505.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM3,G1 gripper,MH1,5.0,5.0,493.0,525.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM3,G1 gripper,MH2,95.0,5.0,493.0,615.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM3,G1 gripper,MH3,5.0,55.0,443.0,525.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
LIM3,G1 gripper,MH4,95.0,55.0,443.0,615.0,3.2 mm NPTH source candidate,SELECTION REQUIRED,CENTER DATUM ONLY - DO NOT MARK OR DRILL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
