source_id,seller,line_ids,url,access_record,controlled_commercial_fact,boundary,warning
QAS-001,DigiKey,QRL-001;QRL-002,https://www.digikey.com/en/products/detail/hammond-manufacturing/PJ1084T/2569670,direct seller page rechecked 2026-08-10,"PJ1084T exact MPN, one-unit USD price and stock snapshot; exact 14F0907 associated-product USD price",14F0907 needs direct line/cart confirmation; seller copy does not control engineering geometry or rating,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-002,DigiKey,QRL-003,https://www.digikey.com/en/products/detail/phoenix-contact/1207650/7557943,direct seller page rechecked 2026-08-10,"1207650 exact MPN, one-unit USD price and stock snapshot","cart allocation, tariff, shipping and received identity remain unverified","PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-003,TME US,QRL-004,https://www.tme.com/us/en-us/details/skintop-12x1.5g/glands/lapp/53111000/,live browser inspection 2026-08-10,"53111000 exact MPN; 6,709 shown in TME stock; one-piece multiplicity; 1+ net price USD 1.070; manufacturer bag 100",net price excludes sales tax and shipping; stock and price require cart recheck,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-004,TME US,QRL-005,https://www.tme.com/us/en-us/details/skintop-n12g/nuts-for-glands/lapp/53119000/,live browser inspection 2026-08-10,"53119000 exact MPN; 4,552 shown in TME stock; one-piece multiplicity; 5+ net price USD 0.176; manufacturer bag 100",five-piece priced purchase is proposed for two needed articles; net price excludes sales tax and shipping,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-005,Mouser USA,QRL-006,https://www.mouser.com/ProductDetail/Phoenix-Contact/1464484?qs=17ckDYBRdek8QCsQHZRXgA%3D%3D,cached direct seller record reviewed 2026-08-10; live browser access denied,1464484 exact MPN and one-unit USD 22.83 snapshot,availability is UNVERIFIED and a current direct cart check is mandatory; engineering identity remains Phoenix-controlled,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-006,DigiKey,QRL-007,https://www.digikey.com/en/products/detail/phoenix-contact/3209578/2263912,direct seller page rechecked 2026-08-10,"3209578 exact MPN, one-unit USD price and stock snapshot","cart allocation, tariff, shipping and received identity remain unverified","PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-007,DigiKey,QRL-008,https://www.digikey.com/en/products/detail/phoenix-contact/3209510/2263910,direct seller page rechecked 2026-08-10,"3209510 exact MPN, one-unit USD price and stock snapshot","cart allocation, tariff, shipping and received identity remain unverified","PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-008,DigiKey,QRL-009,https://www.digikey.com/en/products/detail/phoenix-contact/3030417/2263929,direct seller page rechecked 2026-08-10,"3030417 exact MPN, one-unit USD price and stock snapshot","cart allocation, tariff, shipping and received identity remain unverified","PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-009,DigiKey,QRL-010,https://www.digikey.com/en/products/detail/phoenix-contact/3022218/349871,direct seller page rechecked 2026-08-10,"3022218 exact MPN, one-unit USD price and stock snapshot","cart allocation, tariff, shipping and received identity remain unverified","PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QAS-010,LAPP Tannehill,QRL-004;QRL-005,https://www.lapptannehill.com/media/wysiwyg/pdf/catalogs/LAPP/SKINTOP-catalog.pdf,catalog record rechecked 2026-08-10,manufacturer pack size 100 for exact 53111000 and 53119000,TME seller multiplicity is distinct from the manufacturer package; no substitution is authorized,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
