line_id,lot_id,manufacturer,manufacturer_part_number,evaluation_quantity,seller_purchase_quantity,seller,seller_order_code,unit_price_snapshot_usd,extended_snapshot_usd,availability_snapshot,source_ids,purpose,cart_state,authorization_state,order_state,receiving_state,permitted_use_if_later_authorized,prohibited_use,warning
QRL-001,LOT-Q4X-FIT,Hammond Manufacturing,PJ1084T,1,1,DigiKey,PJ1084T-ND,158.47,158.47,DIRECT PAGE; 2 SHOWN IN STOCK / FACTORY 36,QAS-001,enclosure survey article,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-002,LOT-Q4X-FIT,Hammond Manufacturing,14F0907,1,1,DigiKey,DIRECT SELLER ORDER CODE SELECTION REQUIRED,29.47,29.47,ASSOCIATED-PRODUCT SNAPSHOT; DIRECT LINE/CART CHECK REQUIRED,QAS-001,panel survey article,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-003,LOT-Q4X-FIT,Phoenix Contact,1207650,1,1,DigiKey,277-16990-ND,7.21,7.21,DIRECT PAGE; 530 SHOWN IN STOCK,QAS-002,one usable 500 mm rail survey/cut-planning article,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-004,LOT-Q4X-FIT,LAPP,53111000,2,2,TME US,SKINTOP-12X1.5G,1.070,2.14,"LIVE PAGE; 6,709 SHOWN IN STOCK; MULTIPLICITY 1",QAS-003;QAS-010,two G1/G2 gland fit articles,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-005,LOT-Q4X-FIT,LAPP,53119000,2,5,TME US,SKINTOP-N12G,0.176,0.88,"LIVE PAGE; 4,552 SHOWN IN STOCK; 5+ PRICE BREAK",QAS-004;QAS-010,two G1/G2 locknut fit articles plus three quarantined spares,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-006,LOT-Q4X-PTCB,Phoenix Contact,1464484,1,1,Mouser USA,651-1464484,22.83,22.83,CACHED SELLER SNAPSHOT; LIVE AVAILABILITY UNVERIFIED,QAS-005,catalog-envelope/device-retention article,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-007,LOT-Q4X-FIT,Phoenix Contact,3209578,1,1,DigiKey,277-2096-ND,1.77,1.77,DIRECT PAGE; STOCK SNAPSHOT SHOWN,QAS-006,PT 2.5-QUATTRO catalog-envelope article,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-008,LOT-Q4X-FIT,Phoenix Contact,3209510,5,5,DigiKey,277-2094-ND,1.46,7.30,"DIRECT PAGE; 34,867 SHOWN IN STOCK",QAS-007,five PT 2.5 catalog-envelope articles,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-009,LOT-Q4X-FIT,Phoenix Contact,3030417,2,2,DigiKey,277-2113-ND,0.86,1.72,"DIRECT PAGE; 19,066 SHOWN IN STOCK",QAS-008,two D-ST 2.5 end-cover articles,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
QRL-010,LOT-Q4X-FIT,Phoenix Contact,3022218,2,2,DigiKey,277-2292-ND,1.17,2.34,"DIRECT PAGE; 43,762 SHOWN IN STOCK",QAS-009,two CLIPFIX 35 end-bracket articles,NOT EXECUTED,NOT AUTHORIZED,NOT ORDERED,NOT RECEIVED,"receipt, quarantine, identity inspection and separately authorized unpowered metrology only",substitution; drilling; cutting; wiring; connection; powered test; motion; child access; energization,"PRELIMINARY - UNPOWERED ACQUISITION DECISION ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, DRILLING, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
