criterion_id,metric,acceptance,fail_closed_rule,warning
R279-C01,geometry/source identity,"same SHA-bound P0.13 STEP, material, load resultant/vector and BC at every level; P2 tetrahedra primary or independent P2 cross-check",any model drift fails protocol,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C02,mesh quality,positive Jacobian; min SICN >=0.10; <=0.1% below 0.20; monitored zones min SICN >=0.20; full histogram recorded,any level failing quality fails protocol,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C03,equilibrium,normalized force balance <=1e-8 and normalized moment balance about fixed datum <=1e-6,either balance failure fails protocol,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C04,loaded surface,area <=0.25% from exact B-Rep and <=0.10% last pair; resultant/location/moment <=0.10%,surface/resultant drift fails protocol,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C05,energy/displacement,strain energy and every fixed registered displacement probe <=2% last-pair change,any required probe failure leaves H02 open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C06,gauge sections,each integrated force/moment component <=1%; derived membrane+bending stress <=3%,any component failure leaves H02 open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C07,nonsingular stress zones,volume-weighted mean/RMS <=3% and p95 <=5% for both L1->L2 and L2->L3; hotspot stays in same named subzone,no global/element-count percentile substitution,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C08,GCI/order,three finest levels; positive plausible order; asymptotic ratio 0.8..1.25; GCI95 <=5% for every decision metric,oscillatory/invalid order requires L4 and keeps H02 open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C09,singular rims/contact lines,raw maximum versus h reported separately; no convergence or 240 MPa comparison claimed,concealment/averaging/capacity use fails protocol,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R279-C10,scope of closure,at most numerical convergence of idealized R278 model; H03/H04/physical/qualified gates stay open,"no selection, capacity, fabrication, motion or energization credit","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
