case_id,metric,3_mm_value,2_mm_value,last_pair_relative_change,diagnostic,reason,warning
C06_EXACT_NORMAL_TOP,global maximum stress,8.953864777464924,8.33644586447293,0.074063,NOT STABLE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06_EXACT_NORMAL_TOP,global p99 stress,3.76822954364765,3.4798759192690523,0.082863,NOT STABLE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06_EXACT_NORMAL_TOP,reported root maximum stress,8.953864777464924,8.33644586447293,0.074063,NOT STABLE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06_EXACT_NORMAL_TOP,reported root p99 stress,4.431407916974097,3.8204543800026176,0.159916,NOT STABLE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06_EXACT_NORMAL_TOP,maximum displacement,0.0054409715363631875,0.005776170633269966,0.058031,NOT STABLE,uniform P1 mesh and idealized restraints,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C06_EXACT_NORMAL_TOP,strain energy,0.37152396312910163,0.38921911658527547,0.045463,NUMERICALLY STABLE ONLY; NOT H02 CLOSURE,uniform P1 mesh and idealized restraints,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07_METAL_PERIMETER_EXACT_NORMAL,global maximum stress,27.048692081501382,26.609788752477737,0.016494,NUMERICALLY STABLE ONLY; NOT H02 CLOSURE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07_METAL_PERIMETER_EXACT_NORMAL,global p99 stress,6.164661436598077,6.228725845696577,0.010285,NUMERICALLY STABLE ONLY; NOT H02 CLOSURE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07_METAL_PERIMETER_EXACT_NORMAL,reported root maximum stress,11.336984672706446,13.810374236313791,0.179096,NOT STABLE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07_METAL_PERIMETER_EXACT_NORMAL,reported root p99 stress,5.0187911076717056,5.377689878487878,0.066738,NOT STABLE,uniform P1 mesh; fixed-hole idealization; physical zone not fixed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
