hold_id,hold,state,closure_evidence,release_effect,warning
R249-H01,R248 physical measurements and qualified acceptance,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H02,Canonical six-row accepted-property bundle,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H03,As-built coordinate-frame/pose transform reconciliation,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H04,Released payload and retained-object configuration,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H05,Acceleration/jerk/duty/fault spectrum,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H06,Actuator current/torque/thermal and drivetrain reflection,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H07,Measured total stopping and drive-persistence envelope,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H08,Bumper/guard/receiver contact and material evidence,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H09,Structural/joint/anchor safety factors and proof,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H10,Regenerated analysis source plus independent calculation checks,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H11,Firmware limits/HIL bound to accepted analyses,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R249-H12,Qualified integrated review and separate work authorization,OPEN,NOT EXECUTED,BLOCKS DOWNSTREAM ANALYSIS ACCEPTANCE AND MOTION CREDIT,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
