reference,coordinate_frame,anchor_x_mm,anchor_y_mm,anchor_basis,terminal_position_state,cut_length_use,warning
F24,BACKPLATE-CATALOG-CANDIDATE,SELECTION REQUIRED,SELECTION REQUIRED,unallocated BP-020 subregion,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR1,BACKPLATE-CATALOG-CANDIDATE,181.000,422.500,planning sub-anchor inside shared BP-018 envelope; not a received terminal point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FSR2,BACKPLATE-CATALOG-CANDIDATE,193.000,422.500,planning sub-anchor inside shared BP-018 envelope; not a received terminal point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1,DOOR-FACE-CATALOG-CANDIDATE,435,95,door-face candidate center; hinge/loom transition not defined,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J24,BACKPLATE-CATALOG-CANDIDATE,SELECTION REQUIRED,SELECTION REQUIRED,unallocated BP-020 subregion,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JWF1,BACKPLATE-CATALOG-CANDIDATE,SELECTION REQUIRED,SELECTION REQUIRED,unallocated connector within BP-012 PCB envelope,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JWP1,BACKPLATE-CATALOG-CANDIDATE,SELECTION REQUIRED,SELECTION REQUIRED,unallocated connector within BP-012 PCB envelope,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1,BACKPLATE-CATALOG-CANDIDATE,213.000,112.500,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2,BACKPLATE-CATALOG-CANDIDATE,279.000,112.500,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KWD1,BACKPLATE-CATALOG-CANDIDATE,140.000,107.500,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KWD2,BACKPLATE-CATALOG-CANDIDATE,166.000,107.500,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
