wire_id,net,from_endpoint,to_endpoint,from_anchor_state,to_anchor_state,center_to_center_manhattan_screen_mm,screen_meaning,cut_length_mm,route_release,warning
P2P-001,ARM_AFTER_S2,S2:TBD-A2,K1:21,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-002,EDM_K1_OUT,K1:22,K2:21,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,66.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-003,K1_STATUS,K1:14,XT1:XT1-05,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,290.500,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-004,K2_STATUS,K2:14,XT1:XT1-06,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,234.500,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-005,SR1_A1_WD_GATED,SR1:A1,KWD2:14,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,101.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-006,SR1_S11,S0:R-1,SR1:S11,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-007,SR1_S21,S0:L-1,SR1:S21,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-008,SR1_S22,S0:L-2,SR1:S22,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-009,SR1_START_RETURN,SR1:S34,S1:TBD-R2,catalog/planning envelope center; not a terminal entry point,door-face candidate center; hinge/loom transition not defined,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-010,SRA1_S11,SR1:13,SRA1:S11,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,38.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-011,SRA1_S21,SR1:23,SRA1:S21,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,38.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-012,SRA1_S22,SR1:24,SRA1:S22,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,38.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-013,SRA1_START_RETURN,SRA1:S34,K2:22,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,171.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-014,SRA1_STATUS,SRA1:Y32,XT1:XT1-04,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,395.500,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-015,WD_SUPPLY_INTERMEDIATE,KWD1:14,KWD2:11,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,26.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-016,SR1_S12,S0:R-2,XN1:1,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-017,SR1_S12,SR1:S12,XN1:2,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,538.500,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
