hold_id,subject,state,closure_evidence,accepted,warning
NPL-H-001,P1.18 configuration disposition,OPEN,Independent ECAD/electrical review and formal acceptance or correction,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-002,received enclosure/backplate geometry,OPEN,received measurements and accepted coordinate reconciliation,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-003,DR5/WD4 cut release,OPEN,"received stock, kerf/tolerance, cut/deburr/coating and inspection plan",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-004,node received fit and terminal access,OPEN,"received identity/dimensions, rail engagement, bend/tool/marker/cover access",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-005,PTFIX support/accessories,OPEN,"manufacturer/application disposition for adapters, alignment, end support, covers and markings",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-006,PT terminal end cover/segregation,OPEN,accepted 3030488 use plus partition/marker and different-potential adjacency disposition,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-007,"holes, fasteners and bonding",OPEN,"released coordinates, hardware, coating preparation, torque, PE/bonding and load proof",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-008,point-to-point routes and cut lengths,OPEN,"terminal entry coordinates, duct path, bend/service loops, segregation and measured cut list",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-009,door loom,OPEN,"dynamic-flex cable, hinge path, bend/torsion/abrasion/cycle-life and strain relief",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-010,duct fill and separation,OPEN,"accepted conductor set, fill/temperature/bundle/separation calculations and cover access",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-011,"loading, protection and thermal",OPEN,"fault/inrush/current totals, F24/branch coordination and temperature-rise evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
NPL-H-012,installed inspection and qualified release,OPEN,"received/as-built point-to-point, pull, torque, label, continuity, polarity, isolation, thermal/fault evidence and signatures",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
