family_id,role,representative_axis,whole_body_axis_count,part_count,shaft_od_mm,shaft_bore_mm,support_span_mm,bearing_candidate,external_bearing_count,carrier_plate_mm,transmission,ratio,bbox_x_mm,bbox_y_mm,bbox_z_mm,candidate_non_actuator_mass_kg,release_state,warning,step_path,step_bytes,step_sha256,glb_path,glb_bytes,glb_sha256
JMF-01-COMPACT,compact supported direct joint,HEAD_PAN,4,12,6.000,3.720,32.000,696 OPEN EVALUATION CANDIDATE,1,36.0 x 38.0 x 3.0,direct supported output,1.0:1 candidate,36.000,81.900,43.500,0.034261533,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-01-COMPACT/JMF-01-COMPACT_assembly.step,3338676,af4042afb31fcea843db7ae2e6cc1bf6245f1e0f8894c1a26fd335f57cbbe78a,JMF-01-COMPACT/JMF-01-COMPACT_assembly.glb,1848404,8d62d7982c2f02bd67ad3f47ea35fde4ebdec4fde381bf43ec7215d247150ca8
JMF-02-GRIPPER,parallel hand-shaped gripper drive,L_GRIPPER,2,14,5.000,3.100,28.000,625-2Z EVALUATION CANDIDATE,1,42.0 x 38.0 x 3.0,symmetric rack/pinion or tendon coupling,SELECTION REQUIRED,50.000,75.900,42.500,0.030429638,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-02-GRIPPER/JMF-02-GRIPPER_assembly.step,3901590,83c5cb8cf8c877593e4fdb32c5344062e36acc235ff86fb50987fe8aa318923a,JMF-02-GRIPPER/JMF-02-GRIPPER_assembly.glb,1961768,7ad6c2e919931ca295516c329d6c2357b9ffb77c2fa5e4e76fca79b45c453120
JMF-03-SHOULDER-GIMBAL,shared intersecting-axis shoulder gimbal,L_SHOULDER_PITCH,4,25,10.000,6.200,52.000,61900-2RS1 EVALUATION CANDIDATE,2,58.0 x 64.0 x 4.0,two remote or nested supported drives sharing one gimbal housing,1.0:1 initial candidate,92.700,66.400,95.250,0.197571727,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-03-SHOULDER-GIMBAL/JMF-03-SHOULDER-GIMBAL_assembly.step,5279583,eb762eac9b5f16d7a06c617264afe79aa64308dfb60d28a73466797650f3ee33,JMF-03-SHOULDER-GIMBAL/JMF-03-SHOULDER-GIMBAL_assembly.glb,3276152,45adb800d1e01932ce84118ca38397671ee438d1be7c75f0e1ef52f26db6bffb
JMF-04-MEDIUM,medium supported direct joint,L_ELBOW_PITCH,2,12,10.000,6.200,46.000,61900-2RS1 EVALUATION CANDIDATE,1,52.0 x 56.0 x 4.0,direct supported output,1.0:1 candidate,52.000,101.400,63.250,0.084498820,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-04-MEDIUM/JMF-04-MEDIUM_assembly.step,3155362,0e775693dac534a224229a788c2249caf06116d57c3c68e37da07b18c993bb41,JMF-04-MEDIUM/JMF-04-MEDIUM_assembly.glb,1896944,af5e7d979c9d4537542d9e1dd326a21ce5801448592737638f799a1b0fa03dbb
JMF-05-WAIST,large supported waist turntable,WAIST_YAW,1,12,17.000,10.540,28.000,6803 OPEN EVALUATION CANDIDATE,1,98.0 x 72.0 x 5.0,supported yaw output with actuator isolated from overturning load,1.0:1 initial candidate,98.000,90.900,80.750,0.154569892,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-05-WAIST/JMF-05-WAIST_assembly.step,1518664,e729345220c75bf8adb65150a435c5db7bffa77979831d5171fa659c5db85fae,JMF-05-WAIST/JMF-05-WAIST_assembly.glb,1214220,42f2a4c3e1a64339155b81cf2d5dea84f99034c34de619c0920657aa17a04c48
JMF-06-LEG-DIRECT,large supported direct leg joint,L_HIP_YAW,2,12,12.000,7.440,60.000,6901 OPEN EVALUATION CANDIDATE,1,66.0 x 70.0 x 5.0,direct supported output,1.0:1 W0 candidate,66.000,124.900,79.750,0.136845502,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-06-LEG-DIRECT/JMF-06-LEG-DIRECT_assembly.step,1501523,f4cabe7cfac3aeaca92b126f3e71948cfa1d9854c1b32e1b9c6c08e1f1ee0479,JMF-06-LEG-DIRECT/JMF-06-LEG-DIRECT_assembly.glb,1208496,d095b69e07c99678482d602187f677f4a4d1e75de29a4cbf2fe2a528ebae4304
JMF-07-LEG-REDUCED-15,parallel-axis reduced leg joint,L_HIP_PITCH,2,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,72.0 x 78.0 x 5.0,"20:30 tooth, 5M-pitch parallel-axis timing transmission with output encoder",1.5:1 geometric candidate,72.000,80.400,119.000,0.247507120,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-07-LEG-REDUCED-15/JMF-07-LEG-REDUCED-15_assembly.step,2316553,7c572636b51a6c46be35063e76276ba2d5ef36a25b058d466932e2f9d4bc6fdf,JMF-07-LEG-REDUCED-15/JMF-07-LEG-REDUCED-15_assembly.glb,1592428,4d78a22aaf28f14ed74f3ee2cf1301e69b3b7b442e9a68dba3fab60eaf225057
JMF-08-LEG-REDUCED-20,higher-reduction hip/ankle roll joint,L_HIP_ROLL,4,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,74.0 x 70.0 x 5.0,"20:40 tooth, 5M-pitch parallel-axis timing transmission with output encoder",2.0:1 geometric candidate,76.000,80.400,126.000,0.266510397,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-08-LEG-REDUCED-20/JMF-08-LEG-REDUCED-20_assembly.step,2315489,bf51012987406518e24d4c9012757a6227d1f041c566403c7512f342e2587a4a,JMF-08-LEG-REDUCED-20/JMF-08-LEG-REDUCED-20_assembly.glb,1591140,f592df72a02189db880b5e8b233f971717cb1f41943f6e53fa41fb6c19375f0e
JMF-09-KNEE-REDUCED-20,2.0:1 knee transmission with dual-supported output,L_KNEE_PITCH,2,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,74.0 x 78.0 x 5.0,"20:40 tooth, 5M-pitch parallel-axis timing transmission with output encoder",2.0:1 whole-body knee candidate,76.000,80.400,127.000,0.271673122,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-09-KNEE-REDUCED-20/JMF-09-KNEE-REDUCED-20_assembly.step,2315628,478534f526ed83166ca6809641c4bd594dc89f4950ee287d1862a791761f8979,JMF-09-KNEE-REDUCED-20/JMF-09-KNEE-REDUCED-20_assembly.glb,1591308,4fe7c37494cfad973f537233651359966069deaa2f86afb1eb41a904b3243eaa
JMF-10-ANKLE-PITCH-REDUCED-25,compact 2.5:1 ankle-pitch transmission,L_ANKLE_PITCH,2,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,74.0 x 72.0 x 5.0,"16:40 tooth, 5M-pitch timing transmission with output encoder",2.5:1 whole-body ankle candidate,76.000,80.400,127.000,0.264976330,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-10-ANKLE-PITCH-REDUCED-25/JMF-10-ANKLE-PITCH-REDUCED-25_assembly.step,3968726,3c098e051f305fb948784ca79738d5f87f185ab44d271e6d847e8f2b425c9293,JMF-10-ANKLE-PITCH-REDUCED-25/JMF-10-ANKLE-PITCH-REDUCED-25_assembly.glb,2282372,9bccab4d5b92f2725b73549fc3ea175eca1d42730d4a8340d69ca98135307156
