family_id,interface_id,nominal_geometry,candidate_design_state,unresolved_selection_or_evidence,warning
JMF-01-COMPACT,shaft-to-bearing,shaft OD 6.000 / bearing bore 6.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,bearing-to-carrier,bearing OD 15.000 / carrier seat envelope 15.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,carrier-to-link,4 x DIA 3.4 on 26.0 x 28.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,output encoder,annular carrier outside B support; shaft OD 6.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,actuator/transmission,direct supported output,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,shaft-to-bearing,shaft OD 5.000 / bearing bore 5.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,bearing-to-carrier,bearing OD 16.000 / carrier seat envelope 16.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,carrier-to-link,4 x DIA 3.4 on 32.0 x 26.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,output encoder,annular carrier outside B support; shaft OD 5.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,actuator/transmission,symmetric rack/pinion or tendon coupling,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,shaft-to-bearing,shaft OD 10.000 / bearing bore 10.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,bearing-to-carrier,bearing OD 22.000 / carrier seat envelope 22.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,carrier-to-link,4 x DIA 4.5 on 40.0 x 44.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,output encoder,annular carrier outside B support; shaft OD 10.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,actuator/transmission,two remote supported 16:24 5GT drives with GBN185EV5GT-090 belts sharing one compact XM430 gimbal housing,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,shaft-to-bearing,shaft OD 10.000 / bearing bore 10.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,bearing-to-carrier,bearing OD 22.000 / carrier seat envelope 22.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,carrier-to-link,4 x DIA 4.5 on 40.0 x 44.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
