Ref,Val,Package,PosX,PosY,Rot,Side
"C5A","10nF 50V X7R","C_0603_1608Metric",16.200000,-29.200000,180.000000,bottom
"C5B","10uF 6.3V X5R","C_0603_1608Metric",11.000000,-29.200000,180.000000,bottom
"C5C","100nF 50V X7R","C_0603_1608Metric",5.800000,-29.200000,180.000000,bottom
"C5D","10uF 6.3V X5R","C_0603_1608Metric",16.000000,-11.000000,180.000000,bottom
"C5E","100nF 50V X7R","C_0603_1608Metric",11.000000,-11.000000,180.000000,bottom
"C201A","100nF 50V X7R VCCA","C_0603_1608Metric",28.000000,-23.000000,180.000000,bottom
"C201B","100nF 50V X7R VCCB","C_0603_1608Metric",34.000000,-23.000000,180.000000,bottom
"C202A","100nF 50V X7R VCCA","C_0603_1608Metric",48.000000,-23.000000,180.000000,bottom
"C202B","100nF 50V X7R VCCB","C_0603_1608Metric",54.000000,-23.000000,180.000000,bottom
"C203A","100nF 50V X7R VCCA","C_0603_1608Metric",68.000000,-23.000000,180.000000,bottom
"C203B","100nF 50V X7R VCCB","C_0603_1608Metric",74.000000,-23.000000,180.000000,bottom
"D5RS","SM712 RS-485 TVS","SOT-23",15.800000,-7.500000,180.000000,bottom
"D201","TPD1E10B06 TTL ESD","D_SOD-523",34.000000,-9.000000,180.000000,bottom
"D202","TPD1E10B06 TTL ESD","D_SOD-523",54.000000,-9.000000,180.000000,bottom
"D203","TPD1E10B06 TTL ESD","D_SOD-523",74.000000,-9.000000,180.000000,bottom
"FB5N","330R@100MHz isolated return bead","L_0402_1005Metric",15.400000,-14.000000,180.000000,bottom
"FB5P","330R@100MHz isolated supply bead","L_0402_1005Metric",13.000000,-14.000000,180.000000,bottom
"R201D","100k 1% DIR pulldown","R_0603_1608Metric",27.000000,-17.000000,180.000000,bottom
"R201S","33R 1% series","R_0603_1608Metric",31.000000,-14.000000,180.000000,bottom
"R202D","100k 1% DIR pulldown","R_0603_1608Metric",47.000000,-17.000000,180.000000,bottom
"R202S","33R 1% series","R_0603_1608Metric",51.000000,-14.000000,180.000000,bottom
"R203D","100k 1% DIR pulldown","R_0603_1608Metric",67.000000,-17.000000,180.000000,bottom
"R203S","33R 1% series","R_0603_1608Metric",71.000000,-14.000000,180.000000,bottom
"RT5","120R 1% termination","R_0603_1608Metric",5.800000,-7.500000,180.000000,bottom
"J105","RS-WAIST data-only field","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",11.000000,-4.000000,0.000000,top
"J201","TTL-LDIST data-only field","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",31.000000,-4.000000,0.000000,top
"J202","TTL-RDIST data-only field","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",51.000000,-4.000000,0.000000,top
"J203","TTL-HEAD data-only field","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",71.000000,-4.000000,0.000000,top
"JCB1","JST BM15B-GHS-TBT controller","JST_GH_BM15B-GHS-TBT_1x15-1MP_P1.25mm_Vertical",41.000000,-38.000000,0.000000,top
"U105","ISOW1432DFMR RS-WAIST","SOIC-20W_7.5x12.8mm_P1.27mm",11.000000,-20.000000,90.000000,top
"U201","SN74LVC1T45DCKR TTL-LDIST","SOT-363_SC-70-6",31.000000,-20.000000,0.000000,top
"U202","SN74LVC1T45DCKR TTL-RDIST","SOT-363_SC-70-6",51.000000,-20.000000,0.000000,top
"U203","SN74LVC1T45DCKR TTL-HEAD","SOT-363_SC-70-6",71.000000,-20.000000,0.000000,top
