occ_face_tag_diagnostic_only,face_signature_sha256,geometry_type,bbox_mm_json,exact_occ_area_mm2,mapped_quadratic_facets,mesh_quadratic_area_mm2,absolute_area_error_mm2,relative_area_error,maximum_six_node_deviation_mm,maximum_q8_surface_deviation_mm,rms_q8_surface_deviation_mm,area_within_0p25_percent,surface_deviation_within_0p005_mm,warning
1,db5038e41da5ad3d6fe2ab636cb02b96b43148d6695200e3f00d0034e186be8b,Plane,"[-52.0000001,-1e-07,-20.0000001,52.0000001,9.5250001,-19.9999999]",933.6,340,933.5999999999999,1.1368683772161603e-13,1.2177253397773782e-16,0.0,7.105427357601002e-15,3.2023728339893768e-15,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,24325ea39b4d33351f5b7f3406a765143b5e902c638d3b7f4e8403de46c5f238,Plane,"[-23.5000001,9.5249999,-20.0000001,23.5000001,9.5250001,20.0000001]",1808.957762469,3637,1808.9582914473367,0.0005289783366606571,2.924216074225349e-07,0.0,1.7763568394002505e-15,1.0877919644084146e-15,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,5b731c07d0c0f1dd39cc83d7e58f389bb804a08d55faa18ec0c278b0d27a1f8e,Plane,"[23.4999999,8.5249999,-20.0000001,23.5000001,9.5250001,19.322875756]",39.322875656,28,39.322875655531995,4.680060783357476e-10,1.190162394098301e-11,0.0,7.105427357601002e-15,2.808666774861361e-15,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,8e5a327a0a941105977da52cb20c1aa715857ae739e819cbbdaacd51088173ec,Plane,"[23.4999999,8.5249999,-20.0000001,54.0000001,8.5250001,22.0000001]",461.068533793,575,461.06576112714396,0.0027726658560141004,6.013565560860652e-06,0.0,1.7763568394002505e-15,1.2560739669470201e-15,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,278dcd43d06039e70ac75ba65af56c278f0a084d88d40c191398b3a83c7a14e3,Cylinder,"[51.9999999,-1e-07,-20.0000001,54.0000001,8.5250001,-17.9999999]",26.782077372,14,26.77194988141344,0.010127490586558707,0.00037814432562078805,3.552713678800501e-15,0.0014430950006648045,0.0009183653946916676,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,924b01d0acf2479f85b10f7939b50f2d5409b9dac6e20e5a7e59baec2593b999,Plane,"[-54.0000001,-1e-07,-20.0000001,54.0000001,1e-07,22.0000001]",1474.978725037,1160,1474.9904467686124,0.01172173161239698,7.94705131228448e-06,4.440892098501e-16,4.883261438520536e-16,8.47324993630069e-17,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,93bc7cbb21a2f4ab8769973d833cae5a025070e9b618779f2a36ac65ceaec85d,Cylinder,"[-54.0000001,-1e-07,-20.0000001,-51.9999999,8.5250001,-17.9999999]",26.782077372,14,26.77194988141342,0.010127490586580024,0.00037814432562158397,3.552713678800501e-15,0.0014430950006537589,0.0009183653946919495,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,daa9e9c441963274af073925c0505bc3ce0d55347f1181ecb670c3ec1302f734,Plane,"[-54.0000001,8.5249999,-20.0000001,-23.4999999,8.5250001,22.0000001]",461.068533793,293,461.0726315663188,0.004097773318846976,8.887557962666567e-06,0.0,1.7763568394002505e-15,1.2560739669470201e-15,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,508d5d86875b731152f901a1db3a948bd59cfd507b7233cce1ab5ddbc83b13d5,Plane,"[-23.5000001,8.5249999,-20.0000001,-23.4999999,9.5250001,19.322875756]",39.322875656,28,39.32287565553199,4.680131837631052e-10,1.1901804635483071e-11,0.0,7.105427357601002e-15,2.808666774861361e-15,True,True,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,9eb5d0afc030554b9f0620684cb01bb79ed7120fc922824aa82d905badc7631a,Cylinder,"[-24.0000001,-1e-07,17.9999999,-21.9999999,9.5250001,20.0000001]",28.47820153,14,28.41384898915001,0.06435254084998832,0.0022597122498131403,1.9885678126963356e-13,0.02118625056033226,0.006116565223614343,True,False,"PRELIMINARY - EXACT FACET/B-REP AND LOAD-GEOMETRY EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
