exact_face_signature_sha256,occ_face_tag_diagnostic_only,geometry_type,bbox_mm_json,area_mm2,owner_boundary_curve_signatures_sha256_json,warning
02b15854398bdf5165d7d1f8038fd26b635fd5282d1f52067a58fd2a7748b8ab,122,Plane,"[46.1999999,8.0049999,19.1999999,48.2000001,8.0050001,21.2000001]",3.141592654,"[""348333f485868e907646de4253f6fe927292fe205cde7dd9e1104e007598c282"",""7bdc02c3fb57f0af55e66255b5c0557eb2e1fa5088d2096af93fdab444d7c96a"",""837de7df8584909ce8ce1ce91660a814e4f5cfadf1d745baf67758ded54db2e2""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
0576bac3916eaaad318d2113de72e7b48fa405d8fa4e80fd721c24068baef432,35,Plane,"[39.7999999,8.0049999,-19.2000001,48.2000001,8.5250001,-19.1999999]",4.368,"[""07398fa46cd35f80b9d8be0606e425f7d4d36b1569816e109039858832ee6e7b"",""ca0a8aea25344dc650a185c72aa1f74acbfa6abd6396ddf2b7a04a1cb29debfd"",""e890d3021e1daf46ba1f02cc967ae5ca498a07b4c8c35de2256ad5b6c67d8f62"",""f9691e87be83b42b1b52092ef879d15b80541be638beea295241a97761fe1b9a""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
08d0f4a47e29479adfc4287e49fb2260115130388a5544d20e0e237915466d01,34,Cylinder,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.5250001,-17.1999999]",1.63362818,"[""07398fa46cd35f80b9d8be0606e425f7d4d36b1569816e109039858832ee6e7b"",""1d766885cec29a7f1b255631a324ac4325174991f5f7214de1f4caf26d8b7104"",""46d030c4ead7a59fec0ad787112a91c8cc988576274540e826c2dd62a1cbb286"",""5bada6dd697858d8f2937287782f82a71926f9cf1c60682420bdb657a9399bcf""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
0b133b656f5e80c32f246112a128db908c59b2cd42de756aba77abaee00fafa0,32,Cylinder,"[48.1999999,8.0049999,19.1999999,50.2000001,8.5250001,21.2000001]",1.63362818,"[""4642cc2d54ed6d2bcd1a725a656f8d4911dc6ffb023f205432c8689da72fd47c"",""76c01da84dcb60f30780186650601ae10c492884f99a30bc6b150461c908c563"",""8dcc753945e71aed47b9e465cbbb232b6516fbae44e48ca02a9ded303525d682"",""e809c3acea3ebee2593518440468ed815745b16dce8b9ac13d4b17b148e624dc""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e,77,Plane,"[39.7999999,8.0049999,19.1999999,48.2000001,8.0050001,21.2000001]",10.516814693,"[""133961c23739ccbd43719823911d201173eaccb3690a0674eb2e1f312b3971bd"",""348333f485868e907646de4253f6fe927292fe205cde7dd9e1104e007598c282"",""c4c9cb53e41f8d97c55dc5285cf2e079896562a7592013922afbe8533fe4a3cc"",""c528976ee0fe5eb9888bfcd047f42f5ccf88a9ce528ba9ec4a3991c1837a8771""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,80,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]",3.141592654,"[""2ca76131c607462252841aa473b3c21d1475dde9bb107faa45f25f42783e0a62"",""5bada6dd697858d8f2937287782f82a71926f9cf1c60682420bdb657a9399bcf"",""c05815d922da0d7da6ae97c4de70da08ad3f77bebdfd164f53cd6341fa100fed""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,74,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]",3.141592654,"[""2fd376a01bb1d5311a9475cb752f44771cc8a7382a0c40198dd320e6e5e87288"",""f7350c799ba1f08f6b83fbc3da0e92f33a15463938eaf4d17c4bcc5954a2ee18"",""fee4310276fab78510ff6bcecaeab05289f0876f1bbab42af539da5052e437d1""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3e90fe3ba550ad5d69f7fdbd85c9a856cda26386f9e8d37b381d086f2e479a4c,28,Cylinder,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.5250001,-17.1999999]",1.63362818,"[""51ba68686857ae883e8b2e011e347262c73c715f5a83672b76be3c4f9b11b0c4"",""78c820f2d3bafd869330dcebdf94e7c774955af4c24d49ccff5e1678725db6d5"",""f7350c799ba1f08f6b83fbc3da0e92f33a15463938eaf4d17c4bcc5954a2ee18"",""f9691e87be83b42b1b52092ef879d15b80541be638beea295241a97761fe1b9a""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3fe32155b15b3601d6bb799f0f91816a2faf93434c9f4af60f67d9ab9cc683ac,121,Plane,"[39.7999999,8.0049999,19.1999999,41.8000001,8.0050001,21.2000001]",3.141592654,"[""122c91c19d2a8f895138fed53fa030dc9bdd994317b57b5183deacf89e68ea33"",""4de6ec93fa96aa11a73cb6316ea0c3f732b5b72b796d85582fcd0428f71c81c3"",""c4c9cb53e41f8d97c55dc5285cf2e079896562a7592013922afbe8533fe4a3cc""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62,76,Plane,"[37.7999999,8.0049999,19.1999999,39.8000001,8.0050001,21.2000001]",3.141592654,"[""122c91c19d2a8f895138fed53fa030dc9bdd994317b57b5183deacf89e68ea33"",""d24cca3ae17df24026889843bd8d290d35ca7226b00f64a324ca7c4a2b0247f5"",""e85462995aa5615bfe0abfa7576272deaf2f644edc60414e3149fec1877715cd""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
